"Step","Species","SimAbsBA","ExpAbsBA"
1,"ABCO",5.02492316666667,5.1394773505
6,"ABCO",5.02627816666666,5.505776915
11,"ABCO",8.250776,8.60228985
12,"ABCO",1.85367,2.764403796
16,"ABCO",8.28886433333333,9.553299294
17,"ABCO",1.82792733333333,2.916809881
21,"ABCO",8.329101,10.69337808
22,"ABCO",1.80905633333333,3.169380383
27,"ABCO",1.80169666666667,3.181020797
32,"ABCO",0,2.799051717
1,"ABMA",100.955744444444,100.076744556667
6,"ABMA",101.584297777778,102.221860276667
11,"ABMA",102.278184444444,102.775325386667
16,"ABMA",102.92173,102.899446646667
21,"ABMA",103.51197,103.130730016667
1,"CADE",11.6660966666667,13.1540029005
6,"CADE",11.8885766666666,13.7723047315
11,"CADE",24.1615033333333,29.41467906
12,"CADE",0,0.017887485
16,"CADE",24.5530066666667,30.98351713
17,"CADE",0,0.042952741
21,"CADE",24.9430433333333,31.68296924
22,"CADE",0,0.085254385
27,"CADE",0,0.148603178
32,"CADE",0,0.216574835
1,"PICO",1.443695,1.543846643
5,"PICO",0,0.0113883
6,"PICO",2.86944933333333,3.184661911
10,"PICO",0,0.019037311
11,"PICO",2.86310566666667,2.60727196
15,"PICO",0,0.022427097
16,"PICO",2.868992,2.703773272
19,"PICO",0,0.035197701
21,"PICO",2.85956333333333,2.627467735
24,"PICO",0,0.051995836
29,"PICO",0,0.103346859
1,"PIJE",14.3070033333333,15.83738287
6,"PIJE",14.2004266666667,14.92477556
12,"PIJE",14.0366666666667,13.46417268
17,"PIJE",13.9373666666667,13.35851674
22,"PIJE",13.77287,12.63317314
27,"PIJE",13.6396866666667,11.72548106
32,"PIJE",0,12.12494237
1,"PILA",0.959901099999999,1.4180149595
6,"PILA",0.924109766666665,1.4939058055
11,"PILA",0.5060506,1.975410591
12,"PILA",1.22794423333333,0.179119109
16,"PILA",0.505767466666667,2.307715687
17,"PILA",1.1154666,0.219019786
21,"PILA",0.536483766666667,2.568946796
22,"PILA",1.04727653333333,0.253735251
27,"PILA",0.978668166666667,0.194133601
32,"PILA",0,0.219090472
1,"PIMO",4.83694541666666,4.08326161275
5,"PIMO",18.8978733333333,13.13276843
6,"PIMO",0.0470524444444443,0.062236929
10,"PIMO",18.49828,11.28814029
11,"PIMO",0.0758144351666665,0.088721533
12,"PIMO",0,0.017907905
15,"PIMO",18.0723366666667,10.35106306
16,"PIMO",0.0820701338333334,0.094445528
17,"PIMO",0,0.020867293
19,"PIMO",17.9232766666667,13.83382276
21,"PIMO",0.0906248266666665,0.0986591995
24,"PIMO",17.56231,14.94168915
29,"PIMO",17.21695,15.37918129
1,"PIPO",11.83269,17.41989711
6,"PIPO",10.0872053333333,11.30799599
11,"PIPO",8.601375,11.61260396
16,"PIPO",7.475489,11.66155637
21,"PIPO",6.22661,12.04379013
1,"QUCH",0.09370388,0.083079612
6,"QUCH",0.09093403,0.037016687
11,"QUCH",0.0879649666666667,0.021007879
16,"QUCH",0.0844391933333333,0.023558513
21,"QUCH",0.0814356,0.017660504
1,"QUKE",7.63643584166667,7.682445076
6,"QUKE",7.64057249999998,7.443045731
11,"QUKE",15.1285066666667,14.90333257
12,"QUKE",0.133282233333333,0.237522239
16,"QUKE",15.10038,15.42906912
17,"QUKE",0.1415451,0.262400569
21,"QUKE",15.0856466666667,15.31791852
22,"QUKE",0.1600617,0.296468865
27,"QUKE",0.163576933333333,0.33389224
32,"QUKE",0,0.387661659
