"Step","Species","SimAbsBA","ExpAbsBA"
1,"ABCO",27.0629636666667,85
6,"ABCO",26.6722216666666,81.5
11,"ABCO",45.9222233333333,148
12,"ABCO",7.19629566666667,17
16,"ABCO",45.4370333333333,155
17,"ABCO",7.04444566666667,17
21,"ABCO",45.5444466666667,157
22,"ABCO",6.77037133333333,18
27,"ABCO",6.64814866666667,16
32,"ABCO",0,11
1,"ABMA",241.570322222222,980
6,"ABMA",242.240722222222,948.666666666667
11,"ABMA",243.7407,921.666666666667
16,"ABMA",244.7024,862.666666666667
21,"ABMA",245.030822222222,819
1,"CADE",158.538866666667,349
6,"CADE",161.003666666667,316.5
11,"CADE",322.592666666667,613
12,"CADE",0,5
16,"CADE",324.559366666667,589
17,"CADE",0,5
21,"CADE",326.5445,527
22,"CADE",0,10
27,"CADE",0,12
32,"CADE",0,15
1,"PICO",7.37407666666665,18
5,"PICO",0,2
6,"PICO",13.93333,35
10,"PICO",0,4
11,"PICO",13.5000033333333,32
15,"PICO",0,6
16,"PICO",13.1444466666667,32
19,"PICO",0,7
21,"PICO",12.8333366666667,30
24,"PICO",0,8
29,"PICO",0,9
1,"PIJE",50.51481,140
6,"PIJE",49.91481,131
12,"PIJE",48.9814733333333,124
17,"PIJE",48.8111,114
22,"PIJE",48.43704,104
27,"PIJE",48.3629633333333,101
32,"PIJE",0,97
1,"PILA",2.24259163333334,33.5
6,"PILA",2.2925919,34.5
11,"PILA",3.27407366666667,70
12,"PILA",1.18888736666667,3
16,"PILA",3.19259266666667,91
17,"PILA",1.04814726666667,2
21,"PILA",3.39999966666667,109
22,"PILA",1.1222207,2
27,"PILA",1.0851842,2
32,"PILA",0,2
1,"PIMO",9.30462766666666,24.5
5,"PIMO",36.7037,90
6,"PIMO",0.669135777777777,3.66666666666667
10,"PIMO",38.4259266666667,93
11,"PIMO",1.09444428333334,4.5
12,"PIMO",0,1
15,"PIMO",38.9444533333333,105
16,"PIMO",1.22777771666667,4.5
17,"PIMO",0,1
19,"PIMO",39.17036,190
21,"PIMO",1.3925931,3.5
24,"PIMO",41.0074033333333,208
29,"PIMO",42.1074033333333,226
1,"PIPO",23.1444433333333,46
6,"PIPO",19.6,31
11,"PIPO",16.7777766666667,34
16,"PIPO",14.3333333333333,31
21,"PIPO",11.9259333333333,31
1,"QUCH",3.27036933333333,7
6,"QUCH",2.95555566666667,40
11,"QUCH",2.68518566666667,53
16,"QUCH",2.41851866666667,49
21,"QUCH",2.196296,57
1,"QUKE",130.055523333333,160.5
6,"QUKE",125.09258,147.5
11,"QUKE",235.8704,280
12,"QUKE",4.08888766666667,60
16,"QUKE",226.363,272
17,"QUKE",4.23333233333333,97
21,"QUKE",217.8112,250
22,"QUKE",4.90000033333333,95
27,"QUKE",4.74074166666667,107
32,"QUKE",0,121
