"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",28.722219,230.666666666667
6,"ABCO",23.4055545,81.5
7,"ABCO",38.75558,538
11,"ABCO",40.12222,148
12,"ABCO",6.233331,17
13,"ABCO",38.55556,539
16,"ABCO",39.68889,155
17,"ABCO",6.166665,17
18,"ABCO",38.64445,571
21,"ABCO",39.72222,157
22,"ABCO",6.266666,18
23,"ABCO",39.22223,553
27,"ABCO",5.933333,16
28,"ABCO",39.17777,525
32,"ABCO",5.766667,11
1,"ABMA",161.91115,735.25
6,"ABMA",218.500033333333,948.666666666667
7,"ABMA",0,1
11,"ABMA",221.507466666667,921.666666666667
13,"ABMA",0,2
16,"ABMA",224.503733333333,862.666666666667
18,"ABMA",0,2
21,"ABMA",228.337066666667,819
23,"ABMA",0,2
28,"ABMA",0,2
1,"CADE",100.844433333333,256.333333333333
6,"CADE",144.6889,316.5
7,"CADE",13.02223,73
11,"CADE",292.3333,613
12,"CADE",0,5
13,"CADE",12.64444,85
16,"CADE",293.0889,589
17,"CADE",0,5
18,"CADE",12.47777,103
21,"CADE",294.7555,527
22,"CADE",0,10
23,"CADE",12.22221,119
27,"CADE",0,12
28,"CADE",11.93334,120
32,"CADE",0,15
1,"PICO",5.388896,18
5,"PICO",0.1888887,2
6,"PICO",10.46667,35
10,"PICO",0.1777776,4
11,"PICO",10.42222,32
15,"PICO",0.1666665,6
16,"PICO",9.92222,32
19,"PICO",0.1666665,7
21,"PICO",9.822214,30
24,"PICO",0.1444443,8
29,"PICO",0.1444443,9
1,"PIJE",51.26665,140
6,"PIJE",50.44444,131
12,"PIJE",50.32222,124
17,"PIJE",48.83333,114
22,"PIJE",48.05556,104
27,"PIJE",47.83334,101
32,"PIJE",48.07776,97
1,"PILA",8.14444133333333,77
6,"PILA",3.8166685,34.5
7,"PILA",15.37776,162
11,"PILA",5.511111,70
12,"PILA",1.666668,3
13,"PILA",14.06668,122
16,"PILA",5.2,91
17,"PILA",1.477777,2
18,"PILA",12.92222,100
21,"PILA",4.833334,109
22,"PILA",1.333331,2
23,"PILA",12.04443,73
27,"PILA",1.1666649,2
28,"PILA",11.244426,69
32,"PILA",1.1111109,2
1,"PIMO",9.99721875,24.5
5,"PIMO",36.75556,90
6,"PIMO",0.9185183,3.66666666666667
10,"PIMO",36.15555,93
11,"PIMO",1.3777765,4.5
12,"PIMO",0,1
15,"PIMO",37.55555,105
16,"PIMO",1.5111115,4.5
17,"PIMO",0,1
19,"PIMO",37.74444,190
21,"PIMO",1.4833345,3.5
24,"PIMO",37.77778,208
29,"PIMO",37.73334,226
1,"PIPO",15.35555,24
6,"PIPO",25.86667,31
7,"PIPO",0,1
11,"PIPO",22.34445,34
16,"PIPO",19.37778,31
21,"PIPO",16.41112,31
1,"QUCH",2.522224,7
6,"QUCH",2.422223,40
11,"QUCH",2.255556,53
16,"QUCH",2.111111,49
21,"QUCH",1.811111,57
1,"QUKE",88.2924966,108.666666666667
6,"QUKE",128.5944885,147.5
7,"QUKE",0.3999996,7
11,"QUKE",245.8222,280
12,"QUKE",3.455555,60
13,"QUKE",0.3555552,18
16,"QUKE",238.5222,272
17,"QUKE",3.544444,97
18,"QUKE",0.333333,27
21,"QUKE",230.0888,250
22,"QUKE",3.500001,95
23,"QUKE",0.3111108,32
27,"QUKE",3.466666,107
28,"QUKE",0.2888886,27
32,"QUKE",3.355556,121
