"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",157,40.57778,3.01535373394119e-26,"Sig"
6,"ABCO",147,40.42222,2.66821778910876e-22,"Sig"
11,"ABCO",148,40.12222,2.25040196113408e-22,"Sig"
16,"ABCO",155,39.68889,5.28151534389535e-21,"Sig"
21,"ABCO",157,39.72222,5.84362708115104e-20,"Sig"
1,"CADE",695,289.1222,1.26841689425521e-26,"Sig"
6,"CADE",630,289.3778,2.36244635499907e-22,"Sig"
11,"CADE",613,292.3333,4.6889774053199e-22,"Sig"
16,"CADE",589,293.0889,2.45783973534363e-23,"Sig"
21,"CADE",527,294.7555,1.74967996391007e-20,"Sig"
1,"PILA",63,6.188887,1.17121951412691e-26,"Sig"
6,"PILA",65,5.833335,4.23736702345554e-24,"Sig"
11,"PILA",70,5.511111,1.3108176862805e-22,"Sig"
16,"PILA",91,5.2,7.51106044502885e-23,"Sig"
21,"PILA",109,4.833334,1.1200241206288e-24,"Sig"
1,"PIPO",46,30.7111,2.56290437381401e-15,"Sig"
6,"PIPO",31,25.86667,1.1498665321915e-10,"Sig"
11,"PIPO",34,22.34445,1.76365654084566e-11,"Sig"
16,"PIPO",31,19.37778,1.43771738385909e-11,"Sig"
21,"PIPO",31,16.41112,1.33290680085108e-11,"Sig"
1,"QUCH",7,2.522224,8.22442285388767e-19,"Sig"
6,"QUCH",40,2.422223,2.1868796285926e-21,"Sig"
11,"QUCH",53,2.255556,8.21976849437843e-22,"Sig"
16,"QUCH",49,2.111111,2.97051377823175e-21,"Sig"
21,"QUCH",57,1.811111,1.15363162595305e-21,"Sig"
1,"QUKE",305,261.5886,3.84499356414411e-18,"Sig"
6,"QUKE",276,254.1112,1.65078609657685e-12,"Sig"
11,"QUKE",280,245.8222,6.33797350799205e-16,"Sig"
16,"QUKE",272,238.5222,4.90690439783038e-13,"Sig"
21,"QUKE",250,230.0888,3.91200779139488e-10,"Sig"
