"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"PICO",0.005724781,0.0167232,1,"NS"
5,"PICO",0.0113883,0.015532616,0.0130653777179263,"Sig"
10,"PICO",0.019037311,0.015371996,0.0712964629620172,"NS"
15,"PICO",0.022427097,0.015080538,0.017655656968512,"Sig"
19,"PICO",0.035197701,0.015975928,5.1523690219401e-05,"Sig"
24,"PICO",0.051995836,0.013873459,1.05984944651832e-06,"Sig"
29,"PICO",0.103346859,0.014878493,1.18912060616e-09,"Sig"
1,"PIMO",16.16499991,9.939561,8.67700959445325e-14,"Sig"
5,"PIMO",13.13276843,9.777497,2.91569104891506e-09,"Sig"
10,"PIMO",11.28814029,9.753645,7.21094867725569e-06,"Sig"
15,"PIMO",10.35106306,9.661809,0.00583571773591339,"Sig"
19,"PIMO",13.83382276,9.585829,2.93810490296757e-09,"Sig"
24,"PIMO",14.94168915,9.477988,4.45252626304087e-10,"Sig"
29,"PIMO",15.37918129,9.197737,2.55343038361003e-10,"Sig"
