"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",96.84838877,214.5197,2.5767274143364e-18,"Sig"
6,"ABMA",97.52063023,213.2908,1.19417799787581e-13,"Sig"
11,"ABMA",94.43564576,213.1559,7.6615705560415e-14,"Sig"
16,"ABMA",91.25577994,213.8569,9.90881307167969e-14,"Sig"
21,"ABMA",88.46650645,211.4297,8.38507746084543e-13,"Sig"
1,"PIMO",0.020687436,0.3935558,1.16039267834891e-14,"Sig"
6,"PIMO",0.023809402,0.3973471,2.61725533084078e-11,"Sig"
11,"PIMO",0.01586508,0.4003728,3.95254759098141e-11,"Sig"
16,"PIMO",0.01993031,0.3960619,2.60113026387467e-08,"Sig"
21,"PIMO",0.022551976,0.3804513,5.02582300388728e-08,"Sig"
