"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",762,262.989,2.98717671591342e-30,"Sig"
6,"ABMA",727,265.2889,1.68051855452443e-26,"Sig"
11,"ABMA",682,269.4222,1.08432909985821e-23,"Sig"
16,"ABMA",630,272.6444,6.15276712833641e-22,"Sig"
21,"ABMA",587,275.4666,2.36572586583623e-21,"Sig"
1,"PIMO",3,1.299997,4.99924499681369e-15,"Sig"
6,"PIMO",3,1.2111089,6.06008257891468e-11,"Sig"
11,"PIMO",2,1.266664,2.23268616383179e-07,"Sig"
16,"PIMO",2,1.399999,1.84433994196021e-06,"Sig"
21,"PIMO",2,1.3,2.2896550407709e-06,"Sig"
