"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",102.8738998,760.2138,7.71337452574794e-19,"Sig"
6,"ABMA",105.098894,758.9799,1.14407665048965e-18,"Sig"
11,"ABMA",107.1312775,754.3301,8.30747892023889e-18,"Sig"
16,"ABMA",107.9304031,746.4435,6.15792550045469e-17,"Sig"
21,"ABMA",109.6955095,741.0747,4.04498422890442e-16,"Sig"
1,"PICO",3.081968505,11.20627,4.03826811194151e-15,"Sig"
6,"PICO",3.184661911,10.815726,1.20751740978711e-11,"Sig"
11,"PICO",2.60727196,10.447515,2.28472225410094e-08,"Sig"
16,"PICO",2.703773272,9.941131,3.69920253511924e-07,"Sig"
21,"PICO",2.627467735,9.785462,3.19844807449381e-07,"Sig"
