"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",555,188.0666,6.01635162600501e-31,"Sig"
6,"ABMA",565,189.1334,1.68232289977417e-27,"Sig"
11,"ABMA",606,190.5444,2.08897663564105e-26,"Sig"
16,"ABMA",610,190.4001,3.088066843011e-25,"Sig"
21,"ABMA",642,191.989,1.64856103201883e-24,"Sig"
1,"PICO",34,10.55557,3.14242167884717e-23,"Sig"
6,"PICO",35,10.46667,3.96369385235339e-19,"Sig"
11,"PICO",32,10.42222,3.22314561277804e-19,"Sig"
16,"PICO",32,9.92222,4.01472091245524e-20,"Sig"
21,"PICO",30,9.822214,2.53074158358943e-16,"Sig"
