"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",100.5079451,84.21983,8.7051629084239e-20,"Sig"
6,"ABMA",104.0460566,83.83254,1.56140586326425e-10,"Sig"
11,"ABMA",106.7590529,82.91316,6.39151603051525e-10,"Sig"
16,"ABMA",109.5121569,83.77786,4.48200040256625e-10,"Sig"
21,"ABMA",111.2301741,84.05487,1.78074400492285e-10,"Sig"
1,"PIMO",0.135669211,0.10322334,9.28501119437855e-11,"Sig"
6,"PIMO",0.149216575,0.10699417,2.43704565481493e-07,"Sig"
11,"PIMO",0.161577986,0.11192639,1.1491174684064e-07,"Sig"
16,"PIMO",0.168960746,0.1230954,2.03477151550453e-07,"Sig"
21,"PIMO",0.174766423,0.1268133,8.93243272493497e-07,"Sig"
