"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",157,43.08888,3.66182430436203e-26,"Sig"
6,"ABCO",147,42.91111,3.82044827042925e-23,"Sig"
11,"ABCO",148,42.6111,9.4515346037212e-22,"Sig"
16,"ABCO",155,42.46666,7.21788704244962e-22,"Sig"
21,"ABCO",157,41.50001,5.9044130691368e-21,"Sig"
1,"CADE",695,306.1555,1.16664286142975e-25,"Sig"
6,"CADE",630,310.4445,2.05229353577213e-21,"Sig"
11,"CADE",613,310.8444,6.46274482185202e-22,"Sig"
16,"CADE",589,312.2444,1.91027832827641e-20,"Sig"
21,"CADE",527,311.1999,1.84179371292506e-18,"Sig"
1,"PILA",63,6.88889,1.21561086558008e-26,"Sig"
6,"PILA",65,6.733333,9.12423312386184e-22,"Sig"
11,"PILA",70,6.544445,1.80904288852963e-22,"Sig"
16,"PILA",91,6.255555,1.22259137950998e-22,"Sig"
21,"PILA",109,5.911112,6.43043044915033e-24,"Sig"
1,"PIPO",46,30.47778,5.71906719673602e-16,"Sig"
6,"PIPO",31,25.70001,1.64763175189684e-09,"Sig"
11,"PIPO",34,21.77779,3.42294738358413e-13,"Sig"
16,"PIPO",31,18.21111,1.12400427321214e-11,"Sig"
21,"PIPO",31,15.2889,6.21023842903165e-12,"Sig"
1,"QUCH",7,2.655559,2.38308449604675e-20,"Sig"
6,"QUCH",40,2.655557,4.05922188624392e-22,"Sig"
11,"QUCH",53,2.477779,1.28065029172279e-22,"Sig"
16,"QUCH",49,2.388889,7.83442113226846e-22,"Sig"
21,"QUCH",57,2.166665,8.06629276314901e-23,"Sig"
1,"QUKE",305,266.611,1.54953751654244e-19,"Sig"
6,"QUKE",276,257.8556,3.05483403479622e-11,"Sig"
11,"QUKE",280,250.0556,1.05004701802039e-13,"Sig"
16,"QUKE",272,241.8333,5.88210812721153e-13,"Sig"
21,"QUKE",250,233.9999,3.18055790999533e-10,"Sig"
