"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"PICO",0.005724781,0,0,"Sig"
5,"PICO",0.0113883,0,0,"Sig"
10,"PICO",0.019037311,0,0,"Sig"
15,"PICO",0.022427097,0,0,"Sig"
19,"PICO",0.035197701,0,0,"Sig"
24,"PICO",0.051995836,0,0,"Sig"
29,"PICO",0.103346859,0,0,"Sig"
1,"PIMO",16.16499991,12.14444,6.36387254349863e-15,"Sig"
5,"PIMO",13.13276843,11.85243,8.86928544922986e-05,"Sig"
10,"PIMO",11.28814029,11.79665,0.039675149755632,"Sig"
15,"PIMO",10.35106306,11.597566,0.00280207524342989,"Sig"
19,"PIMO",13.83382276,11.529352,6.76885789488377e-05,"Sig"
24,"PIMO",14.94168915,11.432854,4.26843870436827e-06,"Sig"
29,"PIMO",15.37918129,11.437574,1.54744444843704e-06,"Sig"
