"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"PICO",2,0,0,"Sig"
5,"PICO",2,0,0,"Sig"
10,"PICO",4,0,0,"Sig"
15,"PICO",6,0,0,"Sig"
19,"PICO",7,0,0,"Sig"
24,"PICO",8,0,0,"Sig"
29,"PICO",9,0,0,"Sig"
1,"PIMO",87,36.12221,3.05977846318703e-22,"Sig"
5,"PIMO",90,36.1889,1.26502506111808e-19,"Sig"
10,"PIMO",93,36.75555,1.09291168355779e-19,"Sig"
15,"PIMO",105,38.03333,1.93250035014756e-20,"Sig"
19,"PIMO",190,37.5111,6.40721140488037e-24,"Sig"
24,"PIMO",208,37.52223,1.28446159666696e-22,"Sig"
29,"PIMO",226,37.75556,5.31117056732413e-22,"Sig"
