"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",13,6.122221,2.85389389107356e-17,"Sig"
6,"ABCO",16,6.066666,3.92115881649499e-17,"Sig"
12,"ABCO",17,5.844446,1.33395695937644e-16,"Sig"
17,"ABCO",17,5.666666,7.94510359711062e-16,"Sig"
22,"ABCO",18,5.422223,1.98435563048113e-15,"Sig"
27,"ABCO",16,5.377779,3.25791800068706e-14,"Sig"
32,"ABCO",11,5.366667,1.86965164259081e-11,"Sig"
1,"CADE",3,0,0,"Sig"
6,"CADE",3,0,0,"Sig"
12,"CADE",5,0,0,"Sig"
17,"CADE",5,0,0,"Sig"
22,"CADE",10,0,0,"Sig"
27,"CADE",12,0,0,"Sig"
32,"CADE",15,0,0,"Sig"
1,"PIJE",140,51.58891,1.51801171566741e-25,"Sig"
6,"PIJE",131,51.27778,2.73517228534065e-20,"Sig"
12,"PIJE",124,50.41111,3.33321367260571e-19,"Sig"
17,"PIJE",114,49.55555,1.04847069727072e-17,"Sig"
22,"PIJE",104,49.14444,9.04853735369267e-17,"Sig"
27,"PIJE",101,48.28888,4.75334643516897e-16,"Sig"
32,"PIJE",97,47.52222,1.60723495151181e-15,"Sig"
1,"PILA",4,1.411107,1.13718385249969e-16,"Sig"
6,"PILA",4,1.3888889,2.32406908753539e-11,"Sig"
12,"PILA",3,1.2111088,1.51222366724281e-09,"Sig"
17,"PILA",2,1.0666653,1.14318941125917e-06,"Sig"
22,"PILA",2,0.9999992,2.80660078296571e-07,"Sig"
27,"PILA",2,0.9999992,2.80660078296571e-07,"Sig"
32,"PILA",2,0.8888886,1.12808545687298e-07,"Sig"
1,"PIMO",1,0,0,"Sig"
6,"PIMO",1,0,0,"Sig"
12,"PIMO",1,0,0,"Sig"
17,"PIMO",1,0,0,"Sig"
1,"QUKE",16,3.833335,1.64447664652827e-20,"Sig"
6,"QUKE",19,4.011111,5.49744176540212e-20,"Sig"
12,"QUKE",60,4.366664,6.84944783505257e-24,"Sig"
17,"QUKE",97,4.522222,1.41086842666246e-25,"Sig"
22,"QUKE",95,4.411112,1.17932612091239e-23,"Sig"
27,"QUKE",107,4.444444,3.3932320080968e-25,"Sig"
32,"QUKE",121,4.288889,2.00630383384396e-25,"Sig"
