"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",102.8738998,888.5485,6.38480689697152e-22,"Sig"
6,"ABMA",105.098894,873.7627,3.40352551069707e-15,"Sig"
11,"ABMA",107.1312775,862.8378,8.31219635811332e-15,"Sig"
16,"ABMA",107.9304031,857.4983,2.23426262482368e-14,"Sig"
21,"ABMA",109.6955095,847.3038,2.39690292981258e-12,"Sig"
1,"PICO",3.081968505,8.946801,1.39485949353558e-12,"Sig"
6,"PICO",3.184661911,8.654016,2.43482348876634e-11,"Sig"
11,"PICO",2.60727196,8.360467,1.55913363156145e-09,"Sig"
16,"PICO",2.703773272,7.797766,1.68691767640572e-08,"Sig"
21,"PICO",2.627467735,7.608811,2.78872171521794e-08,"Sig"
