"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",555,207.1999,1.59217005987989e-30,"Sig"
6,"ABMA",565,206.6998,5.74266141057697e-28,"Sig"
11,"ABMA",606,206.8555,4.49186204783288e-26,"Sig"
16,"ABMA",610,207.3112,4.2807758363249e-25,"Sig"
21,"ABMA",642,207.1,4.1216341101389e-26,"Sig"
1,"PICO",34,12.91111,3.85776932695041e-20,"Sig"
6,"PICO",35,12.34444,2.97946827790585e-19,"Sig"
11,"PICO",32,11.83333,3.57009926729859e-17,"Sig"
16,"PICO",32,11.1,5.08269469901288e-16,"Sig"
21,"PICO",30,11.18888,5.63948218293064e-15,"Sig"
