"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABCO",8.225156478,7.385813,7.14484664559611e-12,"Sig"
6,"ABCO",8.558441753,7.478123,1.75069757297406e-11,"Sig"
11,"ABCO",8.60228985,7.515564,1.17952910505153e-11,"Sig"
16,"ABCO",9.553299294,7.624731,1.64925956935713e-11,"Sig"
21,"ABCO",10.69337808,7.746554,4.61460982565568e-13,"Sig"
1,"CADE",26.30695258,24.17692,6.01580396229602e-15,"Sig"
6,"CADE",27.54093222,24.49962,7.1369331699947e-15,"Sig"
11,"CADE",29.41467906,24.97403,1.94965252076147e-14,"Sig"
16,"CADE",30.98351713,25.33973,1.48656100995886e-14,"Sig"
21,"CADE",31.68296924,25.64526,2.01333189006035e-11,"Sig"
1,"PILA",1.565750663,0.5645956,1.06890885899512e-18,"Sig"
6,"PILA",1.680348377,0.5397807,1.78717604007692e-14,"Sig"
11,"PILA",1.975410591,0.5720407,1.32627004023429e-13,"Sig"
16,"PILA",2.307715687,0.5720643,1.79516309050351e-14,"Sig"
21,"PILA",2.568946796,0.5617154,1.99452547084192e-14,"Sig"
1,"PIPO",17.41989711,15.83825,7.39437823902468e-09,"Sig"
6,"PIPO",11.30799599,13.61222,3.05824270771508e-07,"Sig"
11,"PIPO",11.61260396,11.79439,0.402704761444648,"NS"
16,"PIPO",11.66155637,10.132684,0.000566893054842864,"Sig"
21,"PIPO",12.04379013,8.625149,5.6170128589211e-07,"Sig"
1,"QUCH",0.083079612,0.06728268,7.99920146041345e-13,"Sig"
6,"QUCH",0.037016687,0.06552883,6.56315567236661e-11,"Sig"
11,"QUCH",0.021007879,0.06598225,1.31416209664028e-11,"Sig"
16,"QUCH",0.023558513,0.06175042,2.21472142475164e-09,"Sig"
21,"QUCH",0.017660504,0.05774202,5.3086681996664e-09,"Sig"
1,"QUKE",15.1782367,14.92151,3.1558152974987e-10,"Sig"
6,"QUKE",14.68553643,15.00381,3.06197270940063e-06,"Sig"
11,"QUKE",14.90333257,15.09185,0.00254963698384814,"Sig"
16,"QUKE",15.42906912,15.10674,0.000147726780334022,"Sig"
21,"QUKE",15.31791852,15.12838,0.0160498089756188,"Sig"
