"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",157,46.97778,2.1309032816665e-25,"Sig"
6,"ABCO",147,46.67777,2.40993296368008e-22,"Sig"
11,"ABCO",148,46.31111,3.23061204461358e-22,"Sig"
16,"ABCO",155,46.63333,1.80003202940287e-20,"Sig"
21,"ABCO",157,47.25556,8.81856128532121e-20,"Sig"
1,"CADE",695,314.8778,1.65924664146864e-27,"Sig"
6,"CADE",630,313.611,2.23894098329752e-25,"Sig"
11,"CADE",613,315.2666,3.59559806922846e-21,"Sig"
16,"CADE",589,317.1001,1.13081866273467e-21,"Sig"
21,"CADE",527,322.2555,4.43671122591167e-18,"Sig"
1,"PILA",63,4.355552,2.36685722256475e-26,"Sig"
6,"PILA",65,3.955555,2.47580334587788e-22,"Sig"
11,"PILA",70,4.177779,4.19106183173003e-21,"Sig"
16,"PILA",91,4.033333,3.84042971970371e-22,"Sig"
21,"PILA",109,3.766667,2.68730844253077e-22,"Sig"
1,"PIPO",46,32.52222,3.03250501350812e-15,"Sig"
6,"PIPO",31,27.22221,5.87243495938633e-08,"Sig"
11,"PIPO",34,23.14445,4.84810886007812e-11,"Sig"
16,"PIPO",31,20.12222,7.24637577479715e-10,"Sig"
21,"PIPO",31,17.11111,1.70444702708205e-11,"Sig"
1,"QUCH",7,3.611115,2.20952553947891e-17,"Sig"
6,"QUCH",40,3.211109,1.70114131295064e-23,"Sig"
11,"QUCH",53,2.977778,3.28214474431516e-23,"Sig"
16,"QUCH",49,2.600001,5.28651557395103e-23,"Sig"
21,"QUCH",57,2.277777,3.052112559554e-23,"Sig"
1,"QUKE",305,278.1223,4.15449183327367e-17,"Sig"
6,"QUKE",276,269.3332,1.83098633633524e-08,"Sig"
11,"QUKE",280,260.5668,6.18877154219763e-11,"Sig"
16,"QUKE",272,250.6778,2.6366733642588e-11,"Sig"
21,"QUKE",250,240.5223,1.96077664383124e-07,"Sig"
