"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"PICO",0.005724781,0,0,"Sig"
5,"PICO",0.0113883,0,0,"Sig"
10,"PICO",0.019037311,0,0,"Sig"
15,"PICO",0.022427097,0,0,"Sig"
19,"PICO",0.035197701,0,0,"Sig"
24,"PICO",0.051995836,0,0,"Sig"
29,"PICO",0.103346859,0,0,"Sig"
1,"PIMO",16.16499991,17.14738,1.82016634128065e-06,"Sig"
5,"PIMO",13.13276843,16.5996,1.38633575495417e-07,"Sig"
10,"PIMO",11.28814029,16.05802,2.34609964888457e-09,"Sig"
15,"PIMO",10.35106306,15.90788,8.18271049194682e-09,"Sig"
19,"PIMO",13.83382276,15.58053,0.000142040144678508,"Sig"
24,"PIMO",14.94168915,15.38988,0.207843972696478,"NS"
29,"PIMO",15.37918129,15.04529,0.402996936593692,"NS"
