"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"PICO",2,0,0,"Sig"
5,"PICO",2,0,0,"Sig"
10,"PICO",4,0,0,"Sig"
15,"PICO",6,0,0,"Sig"
19,"PICO",7,0,0,"Sig"
24,"PICO",8,0,0,"Sig"
29,"PICO",9,0,0,"Sig"
1,"PIMO",87,36.28887,7.44746986686245e-24,"Sig"
5,"PIMO",90,36.08889,2.46157173510998e-20,"Sig"
10,"PIMO",93,36.04444,4.52743955177369e-20,"Sig"
15,"PIMO",105,35.20001,1.3267456289362e-18,"Sig"
19,"PIMO",190,35.46666,1.2325092857002e-21,"Sig"
24,"PIMO",208,37.55557,6.67433820369449e-21,"Sig"
29,"PIMO",226,40.08891,3.95364900488158e-21,"Sig"
