"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABCO",2.053798223,1.975732,9.31943530830096e-07,"Sig"
6,"ABCO",2.453112077,1.995141,4.57424140223318e-11,"Sig"
12,"ABCO",2.764403796,1.957741,7.15563260801825e-11,"Sig"
17,"ABCO",2.916809881,1.947883,1.23414953323653e-10,"Sig"
22,"ABCO",3.169380383,1.91162,2.38404459619295e-11,"Sig"
27,"ABCO",3.181020797,1.844621,2.43265187585816e-11,"Sig"
32,"ABCO",2.799051717,1.844835,2.72598846029424e-10,"Sig"
1,"CADE",0.001053221,0,0,"Sig"
6,"CADE",0.003677243,0,0,"Sig"
12,"CADE",0.017887485,0,0,"Sig"
17,"CADE",0.042952741,0,0,"Sig"
22,"CADE",0.085254385,0,0,"Sig"
27,"CADE",0.148603178,0,0,"Sig"
32,"CADE",0.216574835,0,0,"Sig"
1,"PIJE",15.83738287,15.54862,2.96850724016131e-06,"Sig"
6,"PIJE",14.92477556,15.33003,0.00354879229714995,"Sig"
12,"PIJE",13.46417268,15.21341,2.05359608678201e-08,"Sig"
17,"PIJE",13.35851674,15.06102,5.23579391366234e-07,"Sig"
22,"PIJE",12.63317314,14.83564,4.12264747296882e-07,"Sig"
27,"PIJE",11.72548106,14.70223,3.15924901322399e-08,"Sig"
32,"PIJE",12.12494237,14.51832,4.57252354266679e-07,"Sig"
1,"PILA",1.270279256,0.8802646,1.78092955841191e-08,"Sig"
6,"PILA",1.307463234,0.8025502,3.53185874734542e-06,"Sig"
12,"PILA",0.179119109,0.7635499,2.40672590389704e-06,"Sig"
17,"PILA",0.219019786,0.6997955,3.20082262081789e-06,"Sig"
22,"PILA",0.253735251,0.6934673,1.5502635734522e-05,"Sig"
27,"PILA",0.194133601,0.6181793,1.31569798884964e-05,"Sig"
32,"PILA",0.219090472,0.5909324,2.98577711782773e-05,"Sig"
1,"PIMO",0.011689894,0,0,"Sig"
6,"PIMO",0.01368481,0,0,"Sig"
12,"PIMO",0.017907905,0,0,"Sig"
17,"PIMO",0.020867293,0,0,"Sig"
1,"QUKE",0.186653452,0.1139598,2.98535570250567e-14,"Sig"
6,"QUKE",0.200555032,0.1193534,2.79888710913275e-12,"Sig"
12,"QUKE",0.237522239,0.1246985,8.54982434476092e-11,"Sig"
17,"QUKE",0.262400569,0.1284628,1.83226031135606e-10,"Sig"
22,"QUKE",0.296468865,0.1409234,6.80691706027882e-11,"Sig"
27,"QUKE",0.33389224,0.1543424,2.51680044059064e-11,"Sig"
32,"QUKE",0.387661659,0.1667527,9.83299049338957e-12,"Sig"
