"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",102.8738998,103.8467,6.56077241750347e-08,"Sig"
6,"ABMA",105.098894,104.2705,0.000160089647266644,"Sig"
11,"ABMA",107.1312775,104.923,8.75891331514043e-07,"Sig"
16,"ABMA",107.9304031,105.4251,2.58913705474003e-06,"Sig"
21,"ABMA",109.6955095,106.0657,9.24283174045106e-07,"Sig"
1,"PICO",3.081968505,3.079709,0.82312239162645,"NS"
6,"PICO",3.184661911,3.037693,0.000326107117431945,"Sig"
11,"PICO",2.60727196,3.005576,2.31142950889349e-06,"Sig"
16,"PICO",2.703773272,3.000446,0.00018099660108862,"Sig"
21,"PICO",2.627467735,2.963602,0.000272695441246315,"Sig"
