"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",555,248.5669,7.02654219009114e-29,"Sig"
6,"ABMA",565,248.511,6.89089781606369e-25,"Sig"
11,"ABMA",606,246.4889,3.40300545271253e-25,"Sig"
16,"ABMA",610,244.4666,1.28485209521371e-24,"Sig"
21,"ABMA",642,242.9333,1.51089476250557e-23,"Sig"
1,"PICO",34,15.27775,1.1358361750104e-21,"Sig"
6,"PICO",35,14.55557,2.49006936019764e-18,"Sig"
11,"PICO",32,13.75557,3.37155250020444e-17,"Sig"
16,"PICO",32,13.41112,6.98752627708326e-16,"Sig"
21,"PICO",30,12.73333,1.6105738998205e-15,"Sig"
