"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",1623,203.6001,7.14579791523442e-37,"Sig"
6,"ABMA",1554,204.5554,8.81975017619781e-33,"Sig"
11,"ABMA",1477,205.8999,3.57644980085995e-29,"Sig"
16,"ABMA",1348,207.1667,8.20539159743605e-28,"Sig"
21,"ABMA",1228,207.2667,7.82491794345418e-27,"Sig"
1,"PIMO",7,1.099999,1.51678381104661e-21,"Sig"
6,"PIMO",7,1.48889,1.90964103915175e-17,"Sig"
11,"PIMO",7,1.900001,1.71596810670049e-15,"Sig"
16,"PIMO",7,2.133332,3.20479297435634e-17,"Sig"
21,"PIMO",5,2.033333,3.16845259925912e-13,"Sig"
