"Step","Species","SimAbsBA","ExpAbsBA"
1,"ABCO",8.03474417333333,16.697269247
6,"ABCO",5.063978194,5.505776915
7,"ABCO",13.8477906666667,40.09226677
11,"ABCO",8.41854,8.60228985
12,"ABCO",1.76881724333333,2.764403796
13,"ABCO",13.9257153333333,38.26280265
16,"ABCO",8.42224,9.553299294
17,"ABCO",1.82376359333333,2.916809881
18,"ABCO",13.8477593333333,41.36284256
21,"ABCO",8.53766466666667,10.69337808
22,"ABCO",1.83129110666667,3.169380383
23,"ABCO",13.665526,36.77109653
27,"ABCO",1.86657246666667,3.181020797
28,"ABCO",13.8088146666667,34.84710786
32,"ABCO",1.92294288666667,2.799051717
1,"ABMA",77.30073745,75.0627114275
6,"ABMA",104.312355333333,102.221860276667
7,"ABMA",0.0184272,0.025165
11,"ABMA",105.187243111111,102.775325386667
13,"ABMA",0.01753154,0.029637853
16,"ABMA",105.954821111111,102.899446646667
18,"ABMA",0.0188881333333333,0.036583931
21,"ABMA",106.874306888889,103.130730016667
23,"ABMA",0.02029534,0.042594601
28,"ABMA",0.02007976,0.051377726
1,"CADE",10.0249111444444,10.53831605
6,"CADE",13.628816998,13.7723047315
7,"CADE",2.85062714666667,5.599432328
11,"CADE",27.3188853333333,29.41467906
12,"CADE",0.00625990466666667,0.017887485
13,"CADE",2.86054935333333,5.969075285
16,"CADE",27.4431913333333,30.98351713
17,"CADE",0.007632306,0.042952741
18,"CADE",2.86102746666667,6.342942278
21,"CADE",27.6059846666667,31.68296924
22,"CADE",0.00897659133333333,0.085254385
23,"CADE",2.8136441,6.741611282
27,"CADE",0.0108221593333333,0.148603178
28,"CADE",2.77495473333333,7.16953411
32,"CADE",0.012752292,0.216574835
1,"PICO",1.46893372833334,1.543846643
5,"PICO",0.00521601713333333,0.0113883
6,"PICO",2.8643064,3.184661911
10,"PICO",0.00609198,0.019037311
11,"PICO",2.88132733333333,2.60727196
15,"PICO",0.00764086933333333,0.022427097
16,"PICO",2.89040946666667,2.703773272
19,"PICO",0.00893821233333333,0.035197701
21,"PICO",2.88087204,2.627467735
24,"PICO",0.0111307386666667,0.051995836
29,"PICO",0.0134753233333333,0.103346859
1,"PIJE",14.5987435333333,15.83738287
6,"PIJE",14.2421088,14.92477556
12,"PIJE",14.2282211333333,13.46417268
17,"PIJE",13.5431603333333,13.35851674
22,"PIJE",13.5796041333333,12.63317314
27,"PIJE",13.6655207333333,11.72548106
32,"PIJE",13.5406941333333,12.12494237
1,"PILA",5.40203766222223,10.5871037196667
6,"PILA",1.336330659,1.4939058055
7,"PILA",12.0389816666667,29.35434969
11,"PILA",1.53350926666667,1.975410591
12,"PILA",1.05075007666667,0.179119109
13,"PILA",11.2712938,23.78918586
16,"PILA",1.53096653333333,2.307715687
17,"PILA",0.973077235333333,0.219019786
18,"PILA",10.6959506,24.37723804
21,"PILA",1.52877073333333,2.568946796
22,"PILA",0.913316491333333,0.253735251
23,"PILA",9.9962616,22.9420109
27,"PILA",0.9117428364,0.194133601
28,"PILA",9.84319793333333,23.77426849
32,"PILA",0.853070262866667,0.219090472
1,"PIMO",6.1696365,4.08326161275
5,"PIMO",23.8418425333333,13.13276843
6,"PIMO",0.06066958,0.062236929
10,"PIMO",22.8813792,11.28814029
11,"PIMO",0.0930566833333333,0.088721533
12,"PIMO",0.0147153,0.017907905
15,"PIMO",23.1411018666667,10.35106306
16,"PIMO",0.103254016666667,0.094445528
17,"PIMO",0.0167141,0.020867293
19,"PIMO",23.435656,13.83382276
21,"PIMO",0.110262996666667,0.0986591995
24,"PIMO",21.6092104666667,14.94168915
29,"PIMO",21.8547396,15.37918129
1,"PIPO",7.82228831566667,8.7134647905
6,"PIPO",13.6492812666667,11.30799599
7,"PIPO",0.00306561,0.005410621
11,"PIPO",11.6726668533333,11.61260396
16,"PIPO",9.73864148,11.66155637
21,"PIPO",8.58280372,12.04379013
1,"QUCH",0.0771349856,0.083079612
6,"QUCH",0.0770327436666667,0.037016687
11,"QUCH",0.0785006119333333,0.021007879
16,"QUCH",0.0833308354666667,0.023558513
21,"QUCH",0.0854893482666667,0.017660504
1,"QUKE",5.02216361033332,5.137241184
6,"QUKE",7.53443644999998,7.443045731
7,"QUKE",0.0274595150666667,0.050086529
11,"QUKE",14.8542557333333,14.90333257
12,"QUKE",0.18010564,0.237522239
13,"QUKE",0.0298001376,0.060658796
16,"QUKE",14.8150598666667,15.42906912
17,"QUKE",0.187721906666667,0.262400569
18,"QUKE",0.0318749133333333,0.038102893
21,"QUKE",14.8234882133333,15.31791852
22,"QUKE",0.195235173333333,0.296468865
23,"QUKE",0.0317552586666667,0.041391365
27,"QUKE",0.19869212,0.33389224
28,"QUKE",0.03152338,0.047439731
32,"QUKE",0.197372846666667,0.387661659
