"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABCO",2.053798223,1.83274652,3.19212822680071e-11,"Sig"
6,"ABCO",2.453112077,1.85247172133333,1.47672201120846e-12,"Sig"
12,"ABCO",2.764403796,1.76881724333333,9.74076645620621e-11,"Sig"
17,"ABCO",2.916809881,1.82376359333333,2.61721896342425e-11,"Sig"
22,"ABCO",3.169380383,1.83129110666667,2.90721963881319e-11,"Sig"
27,"ABCO",3.181020797,1.86657246666667,1.58984536683227e-10,"Sig"
32,"ABCO",2.799051717,1.92294288666667,8.21815224355919e-08,"Sig"
1,"CADE",0.001053221,0.0035491,1,"NS"
6,"CADE",0.003677243,0.00450332933333333,0.0020211908634872,"Sig"
12,"CADE",0.017887485,0.00625990466666667,4.78388279759971e-16,"Sig"
17,"CADE",0.042952741,0.007632306,4.01826023375489e-20,"Sig"
22,"CADE",0.085254385,0.00897659133333333,1.21939868228124e-23,"Sig"
27,"CADE",0.148603178,0.0108221593333333,4.7585552102569e-26,"Sig"
32,"CADE",0.216574835,0.012752292,1.40065473331425e-27,"Sig"
1,"PIJE",15.83738287,14.5987435333333,1.53550940508894e-12,"Sig"
6,"PIJE",14.92477556,14.2421088,0.000959621966912321,"Sig"
12,"PIJE",13.46417268,14.2282211333333,0.000998591576985758,"Sig"
17,"PIJE",13.35851674,13.5431603333333,0.554113807763422,"NS"
22,"PIJE",12.63317314,13.5796041333333,0.0185085803790201,"Sig"
27,"PIJE",11.72548106,13.6655207333333,0.000192068347703939,"Sig"
32,"PIJE",12.12494237,13.5406941333333,0.00494261704374041,"Sig"
1,"PILA",1.270279256,1.13988825333333,9.02550576372661e-41,"Sig"
6,"PILA",1.307463234,1.16065425133333,3.79372399005694e-13,"Sig"
12,"PILA",0.179119109,1.05075007666667,3.87554189348178e-07,"Sig"
17,"PILA",0.219019786,0.973077235333333,1.67528445558292e-05,"Sig"
22,"PILA",0.253735251,0.913316491333333,0.000246611281160732,"Sig"
27,"PILA",0.194133601,0.9117428364,0.000141208371740352,"Sig"
32,"PILA",0.219090472,0.853070262866667,0.000972203791790239,"Sig"
1,"PIMO",0.011689894,0.0107659,1,"NS"
6,"PIMO",0.01368481,0.0124847,1,"NS"
12,"PIMO",0.017907905,0.0147153,1,"NS"
17,"PIMO",0.020867293,0.0167141,1,"NS"
1,"QUKE",0.186653452,0.173751906666667,9.59471832427605e-13,"Sig"
6,"QUKE",0.200555032,0.178070566666667,1.1349134219323e-05,"Sig"
12,"QUKE",0.237522239,0.18010564,8.56050662948918e-08,"Sig"
17,"QUKE",0.262400569,0.187721906666667,2.97860202769647e-08,"Sig"
22,"QUKE",0.296468865,0.195235173333333,1.80848051505323e-08,"Sig"
27,"QUKE",0.33389224,0.19869212,4.79151548314947e-10,"Sig"
32,"QUKE",0.387661659,0.197372846666667,1.21104716388928e-11,"Sig"
