"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",100.5079451,107.844441333333,1.43224906957371e-17,"Sig"
6,"ABMA",104.0460566,109.270361333333,4.6182413845903e-11,"Sig"
11,"ABMA",106.7590529,110.041884666667,2.46313092358786e-05,"Sig"
16,"ABMA",109.5121569,110.438562666667,0.269780209003865,"NS"
21,"ABMA",111.2301741,111.874508,0.539645444228685,"NS"
1,"PIMO",0.135669211,0.132683,1,"NS"
6,"PIMO",0.149216575,0.14601592,0.00189358459939812,"Sig"
11,"PIMO",0.161577986,0.15880516,0.143616114153248,"NS"
16,"PIMO",0.168960746,0.175052933333333,0.0122438712056521,"Sig"
21,"PIMO",0.174766423,0.184943613333333,0.219718919612865,"NS"
