"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",522,398.915626666667,2.6305274723197e-19,"Sig"
7,"ABCO",538,642.644473333333,2.50140668275487e-12,"Sig"
13,"ABCO",539,743.515926666667,2.75142219166467e-16,"Sig"
18,"ABCO",571,830.888606666667,2.87088292407195e-18,"Sig"
23,"ABCO",553,911.29904,1.09332057347525e-17,"Sig"
28,"ABCO",525,985.2788,1.41448516986881e-19,"Sig"
1,"ABMA",1,0.797194,1,"NS"
7,"ABMA",1,0.797194,1,"NS"
13,"ABMA",2,0.690901466666667,4.22028737908746e-11,"Sig"
18,"ABMA",2,0.690901466666667,4.22028737908746e-11,"Sig"
23,"ABMA",2,0.690901466666667,4.22028737908746e-11,"Sig"
28,"ABMA",2,0.6377552,2.18888809124545e-10,"Sig"
1,"CADE",71,48.0442656,3.93801372504535e-18,"Sig"
7,"CADE",73,53.0399626666667,2.38487459939633e-12,"Sig"
13,"CADE",85,55.3252806666667,8.74445711068165e-12,"Sig"
18,"CADE",103,56.5476533333333,1.65461984468963e-15,"Sig"
23,"CADE",119,57.451124,1.30350279228483e-15,"Sig"
28,"CADE",120,56.972802,1.6659950955461e-15,"Sig"
1,"PILA",164,85.5654561333333,1.88438407053579e-25,"Sig"
7,"PILA",162,78.8159336,9.37898943611128e-23,"Sig"
13,"PILA",122,72.5978049333333,1.32851589792718e-16,"Sig"
18,"PILA",100,68.0803592,4.13517932792364e-14,"Sig"
23,"PILA",73,63.2440409333333,1.19583188587284e-07,"Sig"
28,"PILA",69,60.1615762666667,1.29172149112668e-05,"Sig"
1,"PIPO",2,0.690901466666667,4.22028737908746e-11,"Sig"
7,"PIPO",1,0.4783164,0.000195216011695071,"Sig"
1,"QUKE",5,1.594388,1,"NS"
7,"QUKE",7,1.70068053333333,3.63055355214877e-17,"Sig"
13,"QUKE",18,1.54124173333333,8.93405379936417e-25,"Sig"
18,"QUKE",27,1.54124173333333,1.99364244757755e-27,"Sig"
23,"QUKE",32,1.38180293333333,1.50599090978531e-28,"Sig"
28,"QUKE",27,1.48809546666667,8.55087286765672e-24,"Sig"
