"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",6.9769116186,8.15386733333333,0,1.03452254948138e-09,"Sig","Sig"
6,"ABCO",7.421209257,8.29136866666667,0.0257702240919024,4.4439858093634e-06,"Sig","Sig"
11,"ABCO",7.4759547786,8.38812933333333,0.00642669437666685,5.12702424766307e-06,"Sig","Sig"
16,"ABCO",8.4755121528,8.38605266666667,0.953114290248639,0.627360026837164,"NS","NS"
21,"ABCO",9.7976584398,8.587122,0.367339293580489,3.32379096424147e-05,"NS","Sig"
1,"CADE",23.1837411498,27.31339,0,5.10800900266648e-26,"Sig","Sig"
6,"CADE",24.8630959962,27.499358,0.0321219929786463,2.53385721578641e-12,"Sig","Sig"
11,"CADE",26.8752876546,27.5675666666667,0.431683908368898,0.0129554291114396,"NS","Sig"
16,"CADE",28.730898042,27.3401926666667,0.551381172665261,5.18947616206134e-06,"NS","Sig"
21,"CADE",29.858367231,27.5316406666667,0.640654876258266,1.45798132370448e-07,"NS","Sig"
1,"PILA",0.6250040412,2.02384633333333,0,1.13225173596135e-21,"Sig","Sig"
6,"PILA",0.7587537342,1.95168966666667,0.0281272779680763,3.39929553646117e-12,"Sig","Sig"
11,"PILA",1.0196714682,1.94228406666667,0.520290237826451,4.13915092765592e-09,"NS","Sig"
16,"PILA",1.286438076,1.7607028,0.671526946574653,3.95153734577558e-05,"NS","Sig"
21,"PILA",1.4388622248,1.77663453333333,0.376650897919172,0.00162448987466141,"NS","Sig"
1,"PIPO",17.2164620166,15.8438176,0,9.79928213914407e-10,"Sig","Sig"
6,"PIPO",11.1758838576,13.19822284,0.685000456456143,0.000519777602239879,"NS","Sig"
11,"PIPO",11.5033587438,11.7010517266667,0.857319775895453,0.714714692204733,"NS","NS"
16,"PIPO",11.6244360078,10.2695343133333,0.842423684715918,0.0278352262807873,"NS","Sig"
21,"PIPO",12.0021890604,8.92296958666667,0.962076012570721,7.02232263952919e-05,"NS","Sig"
1,"QUCH",0.082631934,0.0766368455333333,0,2.47864140493465e-30,"Sig","Sig"
6,"QUCH",0.0351175902,0.0734909171333333,0.00253715158628262,1.25032910984568e-09,"Sig","Sig"
11,"QUCH",0.0179079054,0.0677560166666667,0.136196191968695,6.59322805767474e-09,"NS","Sig"
21,"QUCH",0.00502656,0.0674401424,0.231674445889521,2.02353210716548e-08,"NS","Sig"
1,"QUKE",14.9031778434,14.7998194,0.727613988958204,0.000323111835954508,"NS","Sig"
6,"QUKE",14.546841078,14.8240341333333,0.2526507174538,0.00160675470926705,"NS","Sig"
11,"QUKE",14.8070001156,14.8614492666667,0.034616984551524,0.58189658721468,"Sig","NS"
16,"QUKE",15.354750642,14.8440074666667,0.685828767713048,0.000234821475626323,"NS","Sig"
21,"QUKE",15.2617569258,14.8606103,0.204434394133797,0.0118601113075367,"NS","Sig"
