"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",0.0183854286,0.00564006133333333,0.0198059480365535,7.40833507028933e-10,"Sig","Sig"
15,"PICO",0.0196067256,0.00707973666666667,0.0648006841336356,9.19659305687379e-09,"NS","Sig"
19,"PICO",0.0280552734,0.00808852666666667,0.00773590939166249,1.74342942835692e-10,"Sig","Sig"
24,"PICO",0.0349667934,0.00919380933333333,0.000505922800142417,5.69507829079277e-11,"Sig","Sig"
29,"PICO",0.0735417144,0.00976630933333333,0,3.82199844084316e-15,"Sig","Sig"
1,"PIMO",15.7798311132,13.8222373333333,0,3.08640300470602e-10,"Sig","Sig"
5,"PIMO",12.6660232776,13.771304,0.0244553185111631,0.00129634781510059,"Sig","Sig"
10,"PIMO",10.8682678104,13.8606960666667,0.13347162494146,4.23003885739546e-08,"NS","Sig"
15,"PIMO",9.9291611034,12.617065,0.125207734085363,0.000682562792695064,"NS","Sig"
19,"PIMO",13.0380751116,12.2567540666667,0.939793223013706,0.307232611015871,"NS","NS"
24,"PIMO",14.1064563024,12.3749073333333,0.855754677848104,0.0326801085227908,"NS","Sig"
29,"PIMO",14.4490360014,12.4434247333333,0.742777539076684,0.0109333058055913,"NS","Sig"
