"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",100.9828646904,120.91369,0,2.58270007958442e-23,"Sig","Sig"
6,"ABMA",103.2036994296,121.649977333333,0,2.37961477997949e-19,"Sig","Sig"
11,"ABMA",105.3005862678,122.854124,0,9.77657096412317e-17,"Sig","Sig"
16,"ABMA",106.1982623394,123.423273333333,0,6.07642555806257e-14,"Sig","Sig"
21,"ABMA",107.9031560376,124.425515333333,0,1.92064909801617e-14,"Sig","Sig"
1,"PICO",3.049845645,2.88839584666667,0,1.88035236663773e-09,"Sig","Sig"
6,"PICO",3.1486128366,2.9171707,0,0.000269287054511964,"Sig","Sig"
11,"PICO",2.569679574,2.99413658,0.431584758523375,3.4770412541008e-06,"NS","Sig"
16,"PICO",2.661783432,3.03004773333333,0.153253506911669,0.000119609288486078,"NS","Sig"
21,"PICO",2.582795754,3.03579155333333,0.799187120146023,6.34873634845901e-05,"NS","Sig"
