"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",245,564.41421,0,1.5200781975441e-28,"Sig","Sig"
6,"ABMA",241,580.136406666667,0,2.86123154676053e-25,"Sig","Sig"
11,"ABMA",240,583.885446666667,0,1.05449129720994e-24,"Sig","Sig"
16,"ABMA",241,585.699466666667,0,2.34389277846156e-25,"Sig","Sig"
21,"ABMA",241,590.05306,0,8.84615126338038e-23,"Sig","Sig"
1,"PICO",20,33.9833706666667,0,1.52791494858065e-17,"Sig","Sig"
6,"PICO",19,34.3461706666667,0,5.43145568959138e-15,"Sig","Sig"
11,"PICO",16,35.071806,0,1.13814634069527e-13,"Sig","Sig"
16,"PICO",16,35.313664,0,5.26270704793942e-13,"Sig","Sig"
21,"PICO",15,34.648526,0.00721031841874159,2.54709580941062e-13,"Sig","Sig"
