"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",94.875833052,105.417300666667,0,4.33903932487139e-12,"Sig","Sig"
6,"ABMA",98.0850771978,106.564888666667,0.0482232740647809,2.32991143891833e-10,"Sig","Sig"
11,"ABMA",100.6780752978,107.878151333333,0.125508221516124,1.0201643979089e-08,"NS","Sig"
16,"ABMA",103.6385259294,108.717616666667,0.581608705955287,2.64523335454389e-06,"NS","Sig"
21,"ABMA",105.4084743096,109.983654,0.344170726156244,0.000366392482908673,"NS","Sig"
1,"PIMO",0.098980035,0.124806246666667,0,0.000772092493086227,"Sig","Sig"
6,"PIMO",0.1069408494,0.137772406666667,0,0.000713627524834788,"Sig","Sig"
11,"PIMO",0.11341176,0.142452013333333,0.0359009428266992,0.00893118018095753,"Sig","Sig"
16,"PIMO",0.1170214584,0.1556948,0.156575621896012,0.00176333063231409,"NS","Sig"
21,"PIMO",0.143826375,0.163052913333333,0.934646761054561,0.205214320167918,"NS","NS"
