"","species","ba90","ba100","ba110","den90","den100","den110"
"1","ABCO",3.05799126981229,2.8679859094845,2.99383148948074,1.51180016678929,1.36699281438452,1.3514598535818
"2","ABMA",0.969009601721359,0.896850829905687,0.928480547061407,2.2299262597948,2.21856336522008,2.22219124513442
"3","CADE",1.02426471234731,0.924023045892207,0.986569933767506,2.39145753472184,2.3459017263194,2.31787807551023
"4","PICO",12.5267866351518,0.929584745674138,0.995083516159725,1.58781413904187,1.47985448568554,1.57040754656172
"5","PIJE",2.65040971195965,2.48113481123737,3.12783938034753,12.0501592356686,27.4773499433729,4.77645305514125
"6","PILA",2.64464029365703,2.5907966602911,2.59504331052283,3.63480698192181,3.55768350033503,3.48532629577871
"7","PIMO",-0.174323542554941,0.956754161852177,0.917947316524247,4.20584718268624,4.05614253255049,3.96447977024168
"8","PIPO",0.594958745028763,0.691911888585908,0.610689320353402,0.487587073689555,1.29686010128936,1.4281733152625
"9","QUCH",0.568771440970273,7.0914178209173,-12.7792249886614,-15.9249908431303,-15.6189899353636,-21.3407772027373
"10","QUKE",1.0520174806081,1.01724488594093,1.02090495445794,2.63516953063259,2.57700530569169,2.609139688299
