"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",8.225156478,8.188076,0.706524719083254,0.517150533653483,"NS","NS"
6,"ABCO",8.5584417534,8.1172,0.880929005754656,0.0134196378600556,"NS","Sig"
11,"ABCO",8.60228985,8.344632,0.814704287436019,0.0647508888758946,"NS","NS"
16,"ABCO",9.553299294,8.427206,0.128999133466009,0.00110274220043415,"NS","Sig"
21,"ABCO",10.69337808,8.641672,0.034347441898626,0.000142557492254156,"Sig","Sig"
1,"CADE",26.3069525796,27.281792,0.0777981536909372,0.000299620696721325,"NS","Sig"
6,"CADE",27.5409322188,27.15998,0.897182056929888,0.239485103241279,"NS","NS"
11,"CADE",29.414679063,27.103146,0.50024853992354,0.00472449761050095,"NS","Sig"
16,"CADE",30.9835171338,26.983968,0.0802233493050875,0.000427018295424238,"NS","Sig"
21,"CADE",31.682969241,27.292262,0.0496075376559884,0.00025339382512418,"Sig","Sig"
1,"PILA",1.5657506634,1.7419098,0.298460206079704,0.00572667127880236,"NS","Sig"
6,"PILA",1.6803483774,0.47695664,0.0969691585924819,0.000455289359535365,"NS","Sig"
11,"PILA",1.975410591,0.10824964,0,6.14851865582197e-07,"Sig","Sig"
16,"PILA",2.3077156872,0.03873936,0,6.99971536217411e-08,"Sig","Sig"
21,"PILA",2.5689467958,0.007670292,0,3.88761342215634e-10,"Sig","Sig"
1,"PIPO",17.41989711,15.005807,0.0771231654769415,0.0245025250049963,"NS","Sig"
6,"PIPO",11.3079959916,12.3319508,0.149235968828431,0.373241009060911,"NS","NS"
11,"PIPO",11.6126039568,10.3055836,0.191400198922606,0.0958579628528135,"NS","NS"
16,"PIPO",11.661556368,8.87627452,0.741189147027912,0.00603771670357585,"NS","Sig"
21,"PIPO",12.0437901276,8.41331316,0.538218539220076,0.00435147357059807,"NS","Sig"
1,"QUCH",0.083079612,0.076650603,0,1,"Sig","NS"
6,"QUCH",0.0370166874,0.069193167,0.87521142524097,0.0199004878488326,"NS","Sig"
11,"QUCH",0.0210078792,0.0646710122,0.996141798136694,0.00943082094429092,"NS","Sig"
21,"QUCH",0.0176605044,0.071541102,0.236220005403176,0.0185715408433139,"NS","Sig"
1,"QUKE",15.1782367044,14.7378416,0.462098212322288,0.00566582369165808,"NS","Sig"
6,"QUKE",14.6855364348,14.8192366,0.236623803998162,0.22816546424183,"NS","NS"
11,"QUKE",14.9033325672,14.8546216,0.00459042343741792,0.788492725121198,"Sig","NS"
16,"QUKE",15.429069117,14.5675434,0.25407424193874,0.0130199928885437,"NS","Sig"
21,"QUKE",15.3179185236,14.3153021,0.350954489831803,0.00481807311940013,"NS","Sig"
