"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",14,1.71674,0,1,"Sig","NS"
15,"PICO",14,1.71674,0,1,"Sig","NS"
19,"PICO",16,1.3733916,0,2.55847580477282e-07,"Sig","Sig"
24,"PICO",18,1.3733916,0,1.53276777219427e-07,"Sig","Sig"
29,"PICO",18,1.2017174,0,1.47109564484003e-07,"Sig","Sig"
1,"PIMO",226,80.3433798,0,1.85257365513033e-10,"Sig","Sig"
5,"PIMO",226,83.948512,0,1.65826319646926e-08,"Sig","Sig"
10,"PIMO",216,86.180246,0,5.3859861395729e-07,"Sig","Sig"
15,"PIMO",220,88.240318,0,6.79812536782767e-07,"Sig","Sig"
19,"PIMO",387,90.643758,0,2.41240894038782e-08,"Sig","Sig"
24,"PIMO",422,87.5536878,0,9.06012678715867e-09,"Sig","Sig"
29,"PIMO",456,88.412024,0,3.61209048515474e-09,"Sig","Sig"
