"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",2.0537982234,2.0672515,0,1,"Sig","NS"
6,"ABCO",2.4531120768,2.1029361,0.0336076106285772,0.00044320346259943,"Sig","Sig"
12,"ABCO",2.764403796,2.03234718,0.0358460818242851,0.000285114439176715,"Sig","Sig"
17,"ABCO",2.9168098806,1.87725606,0.224942922205203,0.00261282575756281,"NS","Sig"
22,"ABCO",3.1693803834,1.9316689,0.172151558826339,0.00169000996976462,"NS","Sig"
27,"ABCO",3.1810207968,1.959246,0.220919571795006,0.00301438450540805,"NS","Sig"
32,"ABCO",2.799051717,2.0400162,0.831956404989573,0.0177609208978165,"NS","Sig"
17,"CADE",0.0429527406,0.004020588,0,4.96427818707123e-09,"Sig","Sig"
22,"CADE",0.0852543846,0.005176376,0,1.29532629478018e-09,"Sig","Sig"
27,"CADE",0.1486031778,0.006645056,0,4.57107016385182e-10,"Sig","Sig"
32,"CADE",0.2165748354,0.007943854,0,2.40388420208403e-10,"Sig","Sig"
1,"PIJE",15.837382869,15.3689606,0.224813806721469,0.00228200501418747,"NS","Sig"
6,"PIJE",14.924775558,15.3814848,0.322977918552022,0.0302131023643534,"NS","Sig"
12,"PIJE",13.4641726758,14.708083,0.445358156656585,0.115043004586861,"NS","NS"
17,"PIJE",13.3585167408,14.480752,0.478209449954337,0.254386339056555,"NS","NS"
22,"PIJE",12.6331731372,14.6081698,0.91067609400929,0.0700209298546112,"NS","NS"
27,"PIJE",11.72548105575,14.6561106,0.0591384544700404,0.0260463227641586,"NS","Sig"
32,"PIJE",12.124942368,14.18899,0.960981283651964,0.0849197967563138,"NS","NS"
1,"PILA",1.2702792564,1.276741,0,1,"Sig","NS"
6,"PILA",1.307463234,1.07176574,0,0.377468198515382,"Sig","NS"
12,"PILA",0.1791191094,0.83765184,0.129087858277922,0.0839802759611687,"NS","NS"
17,"PILA",0.2190197856,0.61289686,0.420894884141435,0.251486277910099,"NS","NS"
22,"PILA",0.253735251,0.6081550428,0.0298520144001149,0.281584188769795,"Sig","NS"
27,"PILA",0.1941336012,0.36765496,0,0.516165681744999,"Sig","NS"
32,"PILA",0.2190904716,0.372743455,0,0.556505874388546,"Sig","NS"
1,"QUKE",0.1866534516,0.1896934,0,3.00665541646577e-07,"Sig","Sig"
6,"QUKE",0.2005550316,0.1790056,0.307345792428021,0.152473339269581,"NS","NS"
12,"QUKE",0.2375222388,0.16834452,0.480186636736901,0.0411147900316849,"NS","Sig"
17,"QUKE",0.2624005692,0.15745082,0.589628380312956,0.00386767265690365,"NS","Sig"
22,"QUKE",0.296468865,0.15160936,0.528142837006982,0.0029943557481156,"NS","Sig"
27,"QUKE",0.333892240374,0.14973454,0.442015830658401,0.0030633826651729,"NS","Sig"
32,"QUKE",0.387661659,0.14237684,0.295900888209898,0.00131488692814123,"NS","Sig"
