"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",102.8738997594,120.73309,0,5.28945179133617e-07,"Sig","Sig"
6,"ABMA",105.098893977,121.460434,0,1.57308477051873e-05,"Sig","Sig"
11,"ABMA",107.131277484,122.22484,0,2.2601891473542e-05,"Sig","Sig"
16,"ABMA",107.9304031344,120.99711,0.282422761123202,0.0011605149406168,"NS","Sig"
21,"ABMA",109.6955095236,122.110468,0.292036851703615,0.00120082929124882,"NS","Sig"
1,"PICO",3.081968505,2.86733058,0.114717676531578,0.00180892344394281,"NS","Sig"
6,"PICO",3.1846619112,2.90143384,0.493354109821389,0.00440767293365685,"NS","Sig"
11,"PICO",2.6072719596,2.90590698,0.193846517528775,0.0164863532378728,"NS","Sig"
16,"PICO",2.7037732722,2.60135818,0.195425945412508,0.367335548162785,"NS","NS"
21,"PICO",2.6274677352,2.57247474,0.139410307660519,0.71868044598953,"NS","NS"
