"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",100.5079450914,105.45494,0.111617991195689,0.000548564893561421,"NS","Sig"
6,"ABMA",104.0460566376,106.788664,0.0565285674213638,0.0361439557420265,"NS","Sig"
11,"ABMA",106.759052862,107.283812,0.703899119337294,0.710428419164368,"NS","NS"
16,"ABMA",109.51215691185,108.162432,0.459704003682254,0.304954885812221,"NS","NS"
21,"ABMA",111.230174055,110.292704,0.400084549489095,0.533962657529298,"NS","NS"
1,"PIMO",0.1356692106,0.1318369,0,1,"Sig","NS"
6,"PIMO",0.1492165752,0.1471845,0,1,"Sig","NS"
11,"PIMO",0.1615779858,0.16112492,0.021494669707185,0.854912710403914,"Sig","NS"
16,"PIMO",0.1689607458,0.17815574,0.645048564114729,0.0830069574042468,"NS","NS"
21,"PIMO",0.1747664226,0.195566,0.660700242309394,0.0114197089656619,"NS","Sig"
