"Step","Species","SimAbsBA","ExpAbsBA"
1,"ABCO",7.8865725,15.5409290178071
6,"ABCO",5.283833943,4.921579509
7,"ABCO",13.564672,37.7022749494256
11,"ABCO",8.60223,7.4759547786
12,"ABCO",2.107284864,2.7139873992
13,"ABCO",13.597984,35.717493257271
16,"ABCO",8.892028,8.4755121528
17,"ABCO",2.120416684,2.898306642
18,"ABCO",13.733704,38.5605565669547
21,"ABCO",9.079718,9.7976584398
22,"ABCO",2.05043752,3.1399380936
23,"ABCO",13.709086,33.9534873784119
27,"ABCO",2.12966412,3.1405467786
28,"ABCO",13.677248,31.999410828
32,"ABCO",2.09426146,2.7768068328
1,"ABMA",107.356356,96.0478964863187
6,"ABMA",108.815278,98.0899719380374
11,"ABMA",109.961752,98.688427093416
16,"ABMA",110.705749333333,98.9933886326
21,"ABMA",112.127987333333,99.2047468412
28,"ABMA",0.0279867,0.0475292664
1,"CADE",14.8038425,14.1655863423142
6,"CADE",27.75313,24.8630959962
7,"CADE",2.3422925,5.46585463637703
11,"CADE",28.235906,26.8752876546
13,"CADE",2.40536736,5.79823350442023
16,"CADE",28.331826,28.730898042
17,"CADE",0.0029378162,0.0216424824
18,"CADE",2.36677368,6.1232391924682
21,"CADE",28.333382,29.858367231
22,"CADE",0.0038594958,0.0591508302
23,"CADE",2.30441024,6.4947372869385
27,"CADE",0.004118146,0.1249681356
28,"CADE",2.34633792,6.9181856898
32,"CADE",0.00514711,0.1930858776
1,"PICO",2.9011196,3.049845645
6,"PICO",2.9322912,3.1486128366
10,"PICO",0.007843274,0.0183854286
11,"PICO",2.9085178,2.569679574
15,"PICO",0.00966518,0.0196067256
16,"PICO",2.7308508,2.661783432
19,"PICO",0.011281222,0.0280552734
21,"PICO",2.7281066,2.582795754
24,"PICO",0.01349954,0.0349667934
29,"PICO",0.0159379,0.0735417144
1,"PIJE",15.4452732,15.1179517566
6,"PIJE",15.2810296,14.1620963946
12,"PIJE",15.630746,12.7167318432
17,"PIJE",15.4795532,12.7479624888
22,"PIJE",15.559877,12.0658975668
27,"PIJE",15.6133252,11.22337090875
32,"PIJE",15.6510792,11.6337697014
1,"PILA",5.2017334,9.795134630367
6,"PILA",0.87951806,1.0166743818
7,"PILA",10.6535028,27.9332241766494
11,"PILA",0.42944123932,1.0196714682
12,"PILA",1.0461256,0.1294621944
13,"PILA",10.291055,22.6642205405533
16,"PILA",0.2913497744,1.286438076
17,"PILA",0.80204632,0.15205344
18,"PILA",9.7831296,23.2672447724832
21,"PILA",0.248709682,1.4388622248
22,"PILA",0.8157245014,0.1712871006
23,"PILA",9.5991384,22.4246781342427
27,"PILA",0.8357341,0.1940008686
28,"PILA",8.5426982,23.3209316802
32,"PILA",0.848286454,0.2181283566
1,"PIMO",7.06955042,7.9394055741
5,"PIMO",13.9252972,12.6660232776
6,"PIMO",0.1463397,0.1069408494
10,"PIMO",11.6764404,10.8682678104
11,"PIMO",0.16189856,0.11341176
15,"PIMO",11.8319398,9.9291611034
16,"PIMO",0.17553492,0.1170214584
19,"PIMO",11.800733,13.0380751116
21,"PIMO",0.19091116,0.143826375
24,"PIMO",12.0876878,14.1064563024
29,"PIMO",12.3654722,14.4490360014
1,"PIPO",15.748827,17.2164620166
6,"PIPO",13.8094586,11.1758838576
11,"PIPO",10.9636442,11.5033587438
16,"PIPO",8.422789,11.6244360078
21,"PIPO",6.95626642,12.0021890604
1,"QUCH",0.0699962982,0.082631934
6,"QUCH",0.067172487,0.0351175902
11,"QUCH",0.0622218922,0.0179079054
21,"QUCH",0.0553821708,0.00502656
1,"QUKE",4.996220718,5.00972495021209
6,"QUKE",7.57995036,7.3245273024
7,"QUKE",0.030657511,0.033006435
11,"QUKE",14.9066762,14.8070001156
12,"QUKE",0.2104189,0.1284223248
13,"QUKE",0.033343564,0.0535407163585141
16,"QUKE",15.0139644,15.354750642
17,"QUKE",0.21482346,0.1581497148
18,"QUKE",0.03569281,0.035632810057189
21,"QUKE",15.06814276,15.2617569258
22,"QUKE",0.2308737,0.1774894044
23,"QUKE",0.03814307,0.036305115
27,"QUKE",0.23919604,0.24453429
28,"QUKE",0.040716732,0.03801336
32,"QUKE",0.25709072,0.2650481526
