"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",324,267.03,0.0188676407371279,9.91929719924944e-05,"Sig","Sig"
6,"ABCO",298,553.10646,0,7.66375137135412e-06,"Sig","Sig"
11,"ABCO",2919,666.30412,0,9.55937446663411e-10,"Sig","Sig"
16,"ABCO",716,767.7097,0.207688935903273,0.00106284763517263,"NS","Sig"
21,"ABCO",314,878.54884,0,5.87603946439137e-07,"Sig","Sig"
1,"CADE",1408,734.33092,0,2.41157649576262e-09,"Sig","Sig"
6,"CADE",1260,839.0022,0,7.62757616636926e-08,"Sig","Sig"
11,"CADE",1528,887.9818,0,1.28491741614078e-07,"Sig","Sig"
16,"CADE",4656,919.1834,0,2.38789025976728e-11,"Sig","Sig"
21,"CADE",1058,962.539,0,1.2385794008843e-06,"Sig","Sig"
1,"PILA",146,49.88661,0,1.71605142127015e-07,"Sig","Sig"
6,"PILA",136,17.77779,0,4.50633850486315e-07,"Sig","Sig"
11,"PILA",154,6.712022,0,7.05320911585133e-08,"Sig","Sig"
16,"PILA",212,2.902496,0,1.87692517534079e-09,"Sig","Sig"
21,"PILA",222,1.269842,0,2.21706569286867e-10,"Sig","Sig"
1,"PIPO",94,44.44451,0,6.05624157627531e-08,"Sig","Sig"
6,"PIPO",64,45.351476,0.0155695325125058,6.43858978483332e-05,"Sig","Sig"
11,"PIPO",97,42.26755,0,1.05944334123638e-05,"Sig","Sig"
16,"PIPO",96,41.541954,0,8.26976275288457e-07,"Sig","Sig"
21,"PIPO",64,39.546466,0.0244821368333596,0.00011019112854979,"Sig","Sig"
1,"QUCH",84,6.167804,0,1.77053687071113e-10,"Sig","Sig"
6,"QUCH",80,5.260774,0,2.55058527136973e-09,"Sig","Sig"
11,"QUCH",112,4.716556,0,6.00805816237351e-10,"Sig","Sig"
21,"QUCH",114,3.809526,0,3.18385139144761e-09,"Sig","Sig"
1,"QUKE",620,306.031788,0,3.09050775438548e-10,"Sig","Sig"
6,"QUKE",554,307.1204,0,3.01155560968102e-09,"Sig","Sig"
11,"QUKE",1074,294.60282,0,7.47138521127611e-10,"Sig","Sig"
16,"QUKE",1010,283.90016,0,2.13869621100828e-09,"Sig","Sig"
21,"QUKE",502,275.011544,0,2.44063453415727e-07,"Sig","Sig"
