"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",1112,566.530608,0,1.94660565643013e-10,"Sig","Sig"
6,"ABMA",1612,579.77354,0,3.3932627516984e-10,"Sig","Sig"
11,"ABMA",3998,583.58298,0,6.42096434906534e-12,"Sig","Sig"
16,"ABMA",1663,587.7553,0,4.09111418672359e-09,"Sig","Sig"
21,"ABMA",1286,593.92312,0,1.11857474601427e-08,"Sig","Sig"
1,"PICO",68,33.741492,0,5.77555205707042e-08,"Sig","Sig"
6,"PICO",70,35.736948,0,2.17074917530604e-06,"Sig","Sig"
11,"PICO",66,35.374158,0,4.14773859380788e-07,"Sig","Sig"
16,"PICO",64,34.104334,0,6.57473402432954e-07,"Sig","Sig"
21,"PICO",60,35.374154,0,7.01639224451268e-06,"Sig","Sig"
