"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",39.8128530357684,13.362156,0,2.64499805669798e-14,"Sig","Sig"
7,"ABCO",40.0922667679693,13.564672,0,3.34885064329179e-09,"Sig","Sig"
13,"ABCO",38.2628026521734,13.597984,0,3.40576100230151e-07,"Sig","Sig"
18,"ABCO",41.3628425580136,13.733704,0,1.73299540731171e-07,"Sig","Sig"
23,"ABCO",36.7710965314624,13.709086,0,7.070057264357e-07,"Sig","Sig"
28,"ABCO",34.8471078648,13.677248,0,6.29636545218761e-07,"Sig","Sig"
28,"ABMA",0.0513777264,0.0279867,0,1,"Sig","NS"
1,"CADE",5.30694234872994,2.271257,0,2.93855319983854e-11,"Sig","Sig"
7,"CADE",5.59943232804898,2.3422925,0,8.90150485713603e-08,"Sig","Sig"
13,"CADE",5.9690752853676,2.40536736,0,1.668540672608e-07,"Sig","Sig"
18,"CADE",6.3429422775454,2.36677368,0,2.02222108347344e-06,"Sig","Sig"
23,"CADE",6.74161128197944,2.30441024,0,2.32811479845486e-05,"Sig","Sig"
28,"CADE",7.1695341102,2.34633792,0,1.61856999931197e-05,"Sig","Sig"
1,"PILA",28.925281243563,12.6738884,0,3.21100283164346e-07,"Sig","Sig"
7,"PILA",29.3543496913482,10.6535028,0,5.57034669773755e-07,"Sig","Sig"
13,"PILA",23.7891858553067,10.291055,0,2.85137707462918e-06,"Sig","Sig"
18,"PILA",24.3772380398364,9.7831296,0,4.93788343276642e-06,"Sig","Sig"
23,"PILA",22.9420109028899,9.5991384,0,7.57225915212937e-06,"Sig","Sig"
28,"PILA",23.7742684872,8.5426982,0,1.09486332716281e-05,"Sig","Sig"
1,"QUKE",0.0468334004967445,0.028116754,0,1,"Sig","NS"
7,"QUKE",0.0500865287885017,0.030657511,0,1,"Sig","NS"
13,"QUKE",0.0606587963648973,0.033343564,0,1,"Sig","NS"
18,"QUKE",0.0381028930445755,0.03569281,0,1,"Sig","NS"
23,"QUKE",0.0413913653667776,0.03814307,0,1,"Sig","NS"
28,"QUKE",0.0474397308,0.040716732,0,7.65041754946958e-10,"Sig","Sig"
