"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",2.0537982234,1.9861778,0,0.396001899388043,"Sig","NS"
6,"ABCO",2.4531120768,1.9774741,0.239658177243135,0.00574893942649138,"NS","Sig"
12,"ABCO",2.764403796,2.01661112,0.233465247939085,0.00400579461483376,"NS","Sig"
17,"ABCO",2.9168098806,2.02553562,0.196168658783752,0.00169833574355512,"NS","Sig"
22,"ABCO",3.1693803834,1.95301136,0.181091963600501,0.000813217939005622,"NS","Sig"
27,"ABCO",3.1810207968,2.05280726,0.252669668930798,0.00122527815121638,"NS","Sig"
32,"ABCO",2.799051717,2.0746218,0.908903421812438,0.00599747576613054,"NS","Sig"
17,"CADE",0.0429527406,0.003501966,0,1.65239604287217e-07,"Sig","Sig"
22,"CADE",0.0852543846,0.00471117,0,2.44840603218988e-08,"Sig","Sig"
27,"CADE",0.1486031778,0.006114818,0,5.87608230277206e-09,"Sig","Sig"
32,"CADE",0.2165748354,0.005793722,0,2.49420088630428e-09,"Sig","Sig"
1,"PIJE",15.837382869,15.3275216,0.156351304205297,0.00171848570302548,"NS","Sig"
6,"PIJE",14.924775558,15.2838784,0.257832024161089,0.286347180827956,"NS","NS"
12,"PIJE",13.4641726758,15.0235802,0.524887570926435,0.00551485778986512,"NS","Sig"
17,"PIJE",13.3585167408,15.008455,0.254608692999432,0.00657103292414715,"NS","Sig"
22,"PIJE",12.6331731372,15.1358274,0.146550309944605,0.000525603901800552,"NS","Sig"
27,"PIJE",11.72548105575,15.3121668,0.0406560439407245,0.00017290339134762,"Sig","Sig"
32,"PIJE",12.124942368,15.6414208,0.0193342157313882,7.77564014006741e-05,"Sig","Sig"
1,"PILA",1.2702792564,1.276741,0,1,"Sig","NS"
6,"PILA",1.307463234,1.05295374,0,0.337287730033384,"Sig","NS"
12,"PILA",0.1791191094,0.55925346,0.392207013888529,0.279155361088439,"NS","NS"
17,"PILA",0.2190197856,0.57525628,0.407077246136164,0.315618697170518,"NS","NS"
22,"PILA",0.253735251,0.3386042,0,0.771184617353622,"Sig","NS"
27,"PILA",0.1941336012,0.35117434,0,0.603905344788073,"Sig","NS"
32,"PILA",0.2190904716,0.35457768,0,0.663131196154353,"Sig","NS"
1,"QUKE",0.1866534516,0.18780204,0.0369793222191985,0.543217566954337,"Sig","NS"
6,"QUKE",0.2005550316,0.19198882,0.0501940837149773,0.394349874185016,"NS","NS"
12,"QUKE",0.2375222388,0.21021556,0.16114174958247,0.0563500170784964,"NS","NS"
17,"QUKE",0.2624005692,0.21557294,0.513572048869039,0.0537179351742424,"NS","NS"
22,"QUKE",0.296468865,0.23191642,0.660716350632513,0.0253974209745932,"NS","Sig"
27,"QUKE",0.333892240374,0.24005626,0.501163889238546,0.00681119735734971,"NS","Sig"
32,"QUKE",0.387661659,0.25438498,0.226121547325609,0.00165246067495786,"NS","Sig"
