"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",38,62.2,0.00761904761904764,6.44113816655964e-05,"Sig","Sig"
6,"ABCO",38,181,0,2.77389316805192e-07,"Sig","Sig"
12,"ABCO",38,238.8,0.00135338345864666,2.38579442083685e-05,"Sig","Sig"
17,"ABCO",210,277.2,0.862588300609412,0.00597747053209859,"NS","Sig"
22,"ABCO",42,320.6,0.0263249667340306,8.86740604772511e-05,"Sig","Sig"
27,"ABCO",36,348.4,0.000851034291267594,4.69470631966329e-05,"Sig","Sig"
32,"ABCO",24,361.4,0,2.33091774975226e-05,"Sig","Sig"
17,"CADE",10,2.6,0,7.1509076113161e-06,"Sig","Sig"
22,"CADE",20,2.6,0,2.35333197317986e-07,"Sig","Sig"
27,"CADE",25,2.6,0,8.5726588296497e-08,"Sig","Sig"
32,"CADE",30,2.2,0,1.60672744445732e-08,"Sig","Sig"
1,"PIJE",324,142.6,0,3.74563917990384e-10,"Sig","Sig"
6,"PIJE",302,151.4,0,7.05354769434139e-08,"Sig","Sig"
12,"PIJE",270,160.2,0,2.59106603398355e-06,"Sig","Sig"
17,"PIJE",228,169.8,0.068322823500832,0.000279134204586213,"NS","Sig"
22,"PIJE",208,175.8,0.321799410914362,0.00194242840486338,"NS","Sig"
27,"PIJE",202,184.8,0.950089517214733,0.00900437094950068,"NS","Sig"
32,"PIJE",196,190,0.812025218595684,0.175268602965462,"NS","NS"
1,"PILA",8,4.2,0.00761904761904764,4.52021310794096e-05,"Sig","Sig"
6,"PILA",8,4.4,0.365071816334955,0.00212288305383947,"NS","Sig"
12,"PILA",6,3.2,0.365071816334955,0.0134650754243885,"NS","Sig"
17,"PILA",4,3.2,0.841344317348312,0.337501856540365,"NS","NS"
22,"PILA",4,3.2,0.365071816334955,0.405023314309061,"NS","NS"
27,"PILA",4,3.4,0.365071816334955,0.529133300381858,"NS","NS"
32,"PILA",4,2.8,0.365071816334955,0.235496360259443,"NS","NS"
1,"QUKE",202,15.6,0,1.78922566560857e-11,"Sig","Sig"
6,"QUKE",202,14.8,0,7.8170798941235e-12,"Sig","Sig"
12,"QUKE",200,14.2,0,2.89981817063795e-10,"Sig","Sig"
17,"QUKE",273,13.8,0,1.17442817320816e-09,"Sig","Sig"
22,"QUKE",195,14.2,0,4.96055192471064e-09,"Sig","Sig"
27,"QUKE",225,13.2,0,2.10354489909614e-09,"Sig","Sig"
32,"QUKE",248,13.4,0,2.22533392761955e-09,"Sig","Sig"
