"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",102.8738997594,121.371628,0,3.94136094079237e-12,"Sig","Sig"
6,"ABMA",105.098893977,122.610018,0,6.47160950221843e-06,"Sig","Sig"
11,"ABMA",107.131277484,120.623392,0.780852218285012,0.00799350612679733,"NS","Sig"
16,"ABMA",107.9304031344,121.522014,0.894608001744226,0.00654961993480628,"NS","Sig"
21,"ABMA",109.6955095236,120.97199,0.908451990248954,0.0114947260577141,"NS","Sig"
1,"PICO",3.081968505,2.902027,0,1,"Sig","NS"
6,"PICO",3.1846619112,2.9121264,0.931857061092447,0.0152222204843731,"NS","Sig"
11,"PICO",2.6072719596,2.8560648,0.0469696595248818,0.0621623790606079,"Sig","NS"
16,"PICO",2.7037732722,2.6691392,0.100050322905089,0.859975855331621,"NS","NS"
21,"PICO",2.6274677352,2.75747348,0.219902207350812,0.593694715507861,"NS","NS"
