"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",634.531773333333,540
6,"ABCO",1622.12373,168
7,"ABCO",2167.64344,1236
11,"ABCO",2469.65966,2919
12,"ABCO",1751,38
13,"ABCO",2783.81996,1166
16,"ABCO",2935.87502,716
17,"ABCO",2096.4,210
18,"ABCO",3186.13398,1556
21,"ABCO",3369.06998,314
22,"ABCO",2406.6,42
23,"ABCO",3603.73644,1276
27,"ABCO",2729.4,36
28,"ABCO",3999.1129,1064
32,"ABCO",3046.4,24
1,"ABMA",1267.96696666667,1981.33333333333
6,"ABMA",1935.42026666667,2060.66666666667
11,"ABMA",2225.30633333333,3528.66666666667
16,"ABMA",2485.25986666667,1905.33333333333
21,"ABMA",2719.27426666667,1644.66666666667
28,"ABMA",0.7111112,4
1,"CADE",390.167786,808
6,"CADE",851.7006,1260
7,"CADE",59.19996,208
11,"CADE",897.052,1528
13,"CADE",64.3556,208
16,"CADE",943.8544,4656
17,"CADE",1.8,10
18,"CADE",67.73336,208
21,"CADE",985.5782,1058
22,"CADE",1.8,20
23,"CADE",75.02222,249
27,"CADE",1.6,25
28,"CADE",80.355536,247
32,"CADE",1.6,30
1,"PICO",39.909308,68
6,"PICO",58.59408,70
10,"PICO",1.5450658,14
11,"PICO",76.55328,66
15,"PICO",1.3733916,14
16,"PICO",92.15418,64
19,"PICO",1.2017178,16
21,"PICO",101.40588,60
24,"PICO",1.2017178,18
29,"PICO",0.8583694,18
1,"PIJE",158.8,324
6,"PIJE",214.8,302
12,"PIJE",259,270
17,"PIJE",299,228
22,"PIJE",324.6,208
27,"PIJE",359.2,202
32,"PIJE",389.6,196
1,"PILA",55.2790486666667,170.666666666667
6,"PILA",31.762135,72
7,"PILA",142.93334,342
11,"PILA",54.240368,154
12,"PILA",7.8,6
13,"PILA",163.5556,258
16,"PILA",50.430838,212
17,"PILA",8.2,4
18,"PILA",175.99998,232
21,"PILA",48.435368,222
22,"PILA",8.4,4
23,"PILA",192.53358,157
27,"PILA",8.4,4
28,"PILA",202.310938,143
32,"PILA",9.4,4
1,"PIMO",46.914257,120
5,"PIMO",109.52792,226
6,"PIMO",7.981864,14
10,"PIMO",126.69528,216
11,"PIMO",7.981864,14
15,"PIMO",140.25756,220
16,"PIMO",7.25624,14
19,"PIMO",153.47638,387
21,"PIMO",7.25624,10
24,"PIMO",169.09864,422
29,"PIMO",182.66088,456
1,"PIPO",53.333348,94
6,"PIPO",83.26532,64
11,"PIPO",90.15868,97
16,"PIPO",100.68026,96
21,"PIPO",105.39682,64
1,"QUCH",6.34921,84
6,"QUCH",5.804992,80
11,"QUCH",5.079368,112
21,"QUCH",3.809526,114
1,"QUKE",107.627987333333,296.666666666667
6,"QUKE",158.99259,378
7,"QUKE",1.6000002,68
11,"QUKE",288.79802,1074
12,"QUKE",14.6,200
13,"QUKE",1.6000002,68
16,"QUKE",279.365,1010
17,"QUKE",14.2,273
18,"QUKE",1.2444446,61
21,"QUKE",265.941186,502
22,"QUKE",13.4,195
23,"QUKE",1.2444446,73
27,"QUKE",12.2,225
28,"QUKE",1.2444446,64
32,"QUKE",12.2,248
