"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",100.5079450914,105.93075,0.022721824539664,0.000109901264022917,"Sig","Sig"
6,"ABMA",104.0460566376,107.063556,0.914607540421803,0.00967371623770687,"NS","Sig"
11,"ABMA",106.759052862,108.673148,0.373867086568041,0.0506232750278968,"NS","NS"
16,"ABMA",109.51215691185,109.83129,0.164707589463368,0.819786196237924,"NS","NS"
21,"ABMA",111.230174055,112.581298,0.279880543111915,0.355907270252727,"NS","NS"
1,"PIMO",0.1356692106,0.13164284,0,3.18819176918994e-05,"Sig","Sig"
6,"PIMO",0.1492165752,0.14687736,0.0909409922211197,0.00159543912843224,"NS","Sig"
11,"PIMO",0.1615779858,0.16249734,0.677762018149984,0.260569132843524,"NS","NS"
16,"PIMO",0.1689607458,0.17455176,0.956932437809042,0.188051009092879,"NS","NS"
21,"PIMO",0.1747664226,0.18773758,0.638539271299769,0.153700555514251,"NS","NS"
