"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",3288,1670.3867,0,2.03836583453191e-11,"Sig","Sig"
6,"ABMA",3116,1753.6524,0,3.39184458700001e-09,"Sig","Sig"
11,"ABMA",3576,1785.0338,0,4.05162969739688e-09,"Sig","Sig"
16,"ABMA",2725,1797.3684,0,1.17258132940889e-08,"Sig","Sig"
21,"ABMA",2462,1832.9252,0,1.5020623602528e-07,"Sig","Sig"
1,"PIMO",14,8.16327,0.011903659559283,3.44349669113497e-05,"Sig","Sig"
6,"PIMO",14,7.981864,0,4.92361076147988e-06,"Sig","Sig"
11,"PIMO",14,7.981864,0.011903659559283,5.94147295250072e-05,"Sig","Sig"
16,"PIMO",14,7.25624,0.00454941441154638,7.66807211165692e-05,"Sig","Sig"
21,"PIMO",10,7.25624,0.974783252878925,0.0128682051868626,"NS","Sig"
