"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",1258,819.55572,0,7.05917330478313e-08,"Sig","Sig"
7,"ABCO",1236,2167.64344,0,5.21444840165152e-06,"Sig","Sig"
13,"ABCO",1166,2783.81996,0,1.58463044596805e-06,"Sig","Sig"
18,"ABCO",1556,3186.13398,0,5.91690481261024e-06,"Sig","Sig"
23,"ABCO",1276,3603.73644,0,2.40441415072102e-06,"Sig","Sig"
28,"ABCO",1064,3999.1129,0,1.69804412259966e-06,"Sig","Sig"
28,"ABMA",4,0.7111112,0.00100529761904766,5.02402763019819e-05,"Sig","Sig"
1,"CADE",208,48.000032,0,2.28613031511463e-10,"Sig","Sig"
7,"CADE",208,59.19996,0,1.02260168166161e-07,"Sig","Sig"
13,"CADE",208,64.3556,0,1.0523572688196e-07,"Sig","Sig"
18,"CADE",208,67.73336,0,5.20306716538398e-07,"Sig","Sig"
23,"CADE",249,75.02222,0,4.46509691912382e-07,"Sig","Sig"
28,"CADE",247,80.355536,0,3.46056718841621e-06,"Sig","Sig"
1,"PILA",358,99.37772,0,3.42955039553472e-10,"Sig","Sig"
7,"PILA",342,142.93334,0,1.64915430608405e-06,"Sig","Sig"
13,"PILA",258,163.5556,0.120623162743852,0.000685417328705344,"NS","Sig"
18,"PILA",232,175.99998,0.750197354488024,0.0123900866110793,"NS","Sig"
23,"PILA",157,192.53358,0.568347934333358,0.128880542399144,"NS","NS"
28,"PILA",143,202.310938,0.587790200785383,0.0708131927165957,"NS","NS"
1,"QUKE",68,1.777778,0,1,"Sig","NS"
7,"QUKE",68,1.6000002,0,3.08296286768092e-10,"Sig","Sig"
13,"QUKE",68,1.6000002,0,3.08296286768092e-10,"Sig","Sig"
18,"QUKE",61,1.2444446,0,7.51909711668377e-09,"Sig","Sig"
23,"QUKE",73,1.2444446,0,3.61649723236037e-09,"Sig","Sig"
28,"QUKE",64,1.2444446,0,6.18129824227497e-09,"Sig","Sig"
