"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",235.971804444444,230.666666666667
6,"ABCO",304.702956666667,81.5
7,"ABCO",689.777686666667,538
11,"ABCO",646.591126666667,148
12,"ABCO",98.0666666666667,17
13,"ABCO",813.155353333333,539
16,"ABCO",750.41574,155
17,"ABCO",113.2,17
18,"ABCO",900.97764,571
21,"ABCO",848.737706666667,157
22,"ABCO",125.133333333333,18
23,"ABCO",998.99256,553
27,"ABCO",138.133333333333,16
28,"ABCO",1085.80759333333,525
32,"ABCO",152.133333333333,11
1,"ABMA",750.0934701,735.25
6,"ABMA",1012.88959111111,948.666666666667
7,"ABMA",0.829629733333333,1
11,"ABMA",1008.29437333333,921.666666666667
13,"ABMA",0.770370466666667,2
16,"ABMA",1003.55772222222,862.666666666667
18,"ABMA",0.770370466666667,2
21,"ABMA",1001.01787333333,819
23,"ABMA",0.770370466666667,2
28,"ABMA",0.770370466666667,2
1,"CADE",258.242757977778,256.333333333333
6,"CADE",413.8596,316.5
7,"CADE",50.7259433333333,73
11,"CADE",864.157133333333,613
12,"CADE",2.4,5
13,"CADE",51.496298,85
16,"CADE",895.359133333333,589
17,"CADE",2.2,5
18,"CADE",53.8666933333333,103
21,"CADE",941.2546,527
22,"CADE",2.13333333333333,10
23,"CADE",56.237062,119
27,"CADE",1.86666666666667,12
28,"CADE",56.2963006666667,120
32,"CADE",1.73333333333333,15
1,"PICO",17.8214429666667,18
5,"PICO",1.48784106666667,2
6,"PICO",34.3461706666667,35
10,"PICO",1.3733916,4
11,"PICO",35.071806,32
15,"PICO",1.3733916,6
16,"PICO",35.313664,32
19,"PICO",1.25894226666667,7
21,"PICO",34.648526,30
24,"PICO",1.0872682,8
29,"PICO",0.972818866666667,9
1,"PIJE",139.2,140
6,"PIJE",141.4,131
12,"PIJE",139,124
17,"PIJE",139,114
22,"PIJE",137.733333333333,104
27,"PIJE",137.733333333333,101
32,"PIJE",136.733333333333,97
1,"PILA",50.5669876444444,77
6,"PILA",30.9373466666667,34.5
7,"PILA",79.0518759333333,162
11,"PILA",54.1798946666667,70
12,"PILA",3.73333333333333,3
13,"PILA",74.4888906,122
16,"PILA",49.463336,91
17,"PILA",3.4,2
18,"PILA",69.6296345333333,100
21,"PILA",44.5653713333333,109
22,"PILA",3.33333333333333,2
23,"PILA",64.6518592,73
27,"PILA",3.13333333333333,2
28,"PILA",60.6814666,69
32,"PILA",3,2
1,"PIMO",22.8239799333333,24.5
5,"PIMO",82.117318,90
6,"PIMO",3.840516,3.66666666666667
10,"PIMO",84.806872,93
11,"PIMO",5.04913366666667,4.5
12,"PIMO",0.8,1
15,"PIMO",85.1502013333333,105
16,"PIMO",5.260774,4.5
17,"PIMO",0.733333333333333,1
19,"PIMO",86.7525053333333,190
21,"PIMO",5.13983666666667,3.5
24,"PIMO",87.4964333333333,208
29,"PIMO",89.84262,226
1,"PIPO",23.2115095333333,24
6,"PIPO",44.3839706666667,31
7,"PIPO",0.651851933333333,1
11,"PIPO",42.509472,34
16,"PIPO",39.4860046666667,31
21,"PIPO",36.825408,31
1,"QUCH",6.34921,7
6,"QUCH",5.68405466666667,40
11,"QUCH",4.59561866666667,53
16,"QUCH",4.23280666666667,49
21,"QUCH",3.990932,57
1,"QUKE",108.033176222222,108.666666666667
6,"QUKE",159.923706666667,147.5
7,"QUKE",1.54074093333333,7
11,"QUKE",294.96588,280
12,"QUKE",14.3333333333333,60
13,"QUKE",1.65925946666667,18
16,"QUKE",280.27212,272
17,"QUKE",13.5333333333333,97
18,"QUKE",1.54074093333333,27
21,"QUKE",267.331874,250
22,"QUKE",13.2666666666667,95
23,"QUKE",1.4222224,32
27,"QUKE",12.8666666666667,107
28,"QUKE",1.36296326666667,27
32,"QUKE",11.8,121
