"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",2.0537982234,2.05292016666667,0,0.937212633469463,"Sig","NS"
6,"ABCO",2.4531120768,2.09061746,0,1.55586680006449e-09,"Sig","Sig"
12,"ABCO",2.764403796,2.08424723333333,0.0192084607717832,7.01276529802396e-11,"Sig","Sig"
17,"ABCO",2.9168098806,2.11074991333333,0.0109437892758357,6.42266557272862e-11,"Sig","Sig"
22,"ABCO",3.1693803834,2.110753,0.00926146661141297,2.38075717115011e-12,"Sig","Sig"
27,"ABCO",3.1810207968,2.09165052,0.0949072211740358,2.00147160174609e-10,"NS","Sig"
32,"ABCO",2.799051717,2.0606358,0.149334047254952,4.49644526212297e-08,"NS","Sig"
17,"CADE",0.0429527406,0.00293804533333333,0,2.59078661645781e-23,"Sig","Sig"
22,"CADE",0.0852543846,0.003739998,0,2.2536089894846e-26,"Sig","Sig"
27,"CADE",0.1486031778,0.00416432866666667,0,7.44942420727073e-29,"Sig","Sig"
32,"CADE",0.2165748354,0.00494352066666667,0,4.23217813964894e-29,"Sig","Sig"
1,"PIJE",15.837382869,15.2055376666667,0,0.000178589838054444,"Sig","Sig"
6,"PIJE",14.924775558,15.1339243333333,0.0219610147719199,0.334429518375424,"Sig","NS"
12,"PIJE",13.4641726758,14.6309652666667,0.137209173999541,0.00340556852243597,"NS","Sig"
17,"PIJE",13.3585167408,14.2443144,0.173875970362895,0.00924097779066039,"NS","Sig"
22,"PIJE",12.6331731372,14.2012278,0.934398083342151,0.000152791041033531,"NS","Sig"
27,"PIJE",11.72548105575,13.9344804,0.37411573841789,1.75986381695381e-05,"NS","Sig"
32,"PIJE",12.124942368,13.9053568666667,0.711403441839893,4.29757440386259e-05,"NS","Sig"
1,"PILA",1.2702792564,1.27083314666667,0,0.926632409544858,"Sig","NS"
6,"PILA",1.307463234,1.22229521933333,0,0.29869747299648,"Sig","NS"
12,"PILA",0.1791191094,0.923652608333333,0.0534377914062742,0.000364258559457972,"NS","Sig"
17,"PILA",0.2190197856,0.7761333978,0.059123507256359,0.00522183100321027,"NS","Sig"
22,"PILA",0.253735251,0.793381378666667,0.0646972863152224,0.00704573999340195,"NS","Sig"
27,"PILA",0.1941336012,0.727032206933333,0,0.00796448100457574,"Sig","Sig"
32,"PILA",0.2190904716,0.545459385933333,0,0.0696806325360502,"Sig","NS"
1,"QUKE",0.1866534516,0.18804874,0,0.207882247283862,"Sig","NS"
6,"QUKE",0.2005550316,0.196855666666667,0.0604560278358726,0.162039525546665,"NS","NS"
12,"QUKE",0.2375222388,0.205591826666667,0,4.10155139704821e-05,"Sig","Sig"
17,"QUKE",0.2624005692,0.21296802,0.0217582794014692,7.90597846514432e-06,"Sig","Sig"
22,"QUKE",0.296468865,0.21675704,0.115764723246108,5.20905612352074e-08,"NS","Sig"
27,"QUKE",0.333892240374,0.22111488,0.0362276211584371,6.56418749616996e-09,"Sig","Sig"
32,"QUKE",0.387661659,0.222231773333333,0.0562965048265962,7.06250076336313e-10,"NS","Sig"
