"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",3288,1633.497998,0,3.81646785065838e-41,"Sig","Sig"
6,"ABMA",3116,1632.04725333333,0,7.33942998752396e-35,"Sig","Sig"
11,"ABMA",3576,1615.66142,0,7.35723345296866e-35,"Sig","Sig"
16,"ABMA",2725,1598.48835333333,0,1.13246797119572e-30,"Sig","Sig"
21,"ABMA",2462,1583.31018666667,0,5.3031891792433e-29,"Sig","Sig"
1,"PIMO",14,7.92139533333333,0,2.25488833957235e-16,"Sig","Sig"
6,"PIMO",14,8.16327,0,1.16564007463094e-11,"Sig","Sig"
11,"PIMO",14,7.86092666666667,0,8.75804877752805e-12,"Sig","Sig"
16,"PIMO",14,8.28420733333333,0,4.45692436940189e-11,"Sig","Sig"
21,"PIMO",10,8.04233266666667,0.622063998847332,0.000908790555007267,"NS","Sig"
