"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",1258,407.703953333333,0,2.68092465267864e-30,"Sig","Sig"
7,"ABCO",1236,689.777686666667,0,6.92845342266443e-23,"Sig","Sig"
13,"ABCO",1166,813.155353333333,0,1.16498626575346e-19,"Sig","Sig"
18,"ABCO",1556,900.97764,0,6.16975765090419e-24,"Sig","Sig"
23,"ABCO",1276,998.99256,0,3.08109955007476e-16,"Sig","Sig"
28,"ABCO",1064,1085.80759333333,0.795796661996806,0.00231253681840127,"NS","Sig"
28,"ABMA",4,0.770370466666667,0,7.79023543957056e-16,"Sig","Sig"
1,"CADE",208,45.7481872666667,0,1.33636433889841e-30,"Sig","Sig"
7,"CADE",208,50.7259433333333,0,4.43396670307714e-27,"Sig","Sig"
13,"CADE",208,51.496298,0,7.91066317499884e-23,"Sig","Sig"
18,"CADE",208,53.8666933333333,0,1.73954037590798e-22,"Sig","Sig"
23,"CADE",249,56.237062,0,4.1401412049851e-24,"Sig","Sig"
28,"CADE",247,56.2963006666667,0,7.73641739246938e-23,"Sig","Sig"
1,"PILA",358,84.7406962666667,0,2.23450616382731e-32,"Sig","Sig"
7,"PILA",342,79.0518759333333,0,2.43189816461221e-27,"Sig","Sig"
13,"PILA",258,74.4888906,0,4.23781441867439e-24,"Sig","Sig"
18,"PILA",232,69.6296345333333,0,1.82192811084415e-23,"Sig","Sig"
23,"PILA",157,64.6518592,0,1.80708350685164e-18,"Sig","Sig"
28,"PILA",143,60.6814666,0,7.24427724329035e-18,"Sig","Sig"
1,"QUKE",68,1.777778,0,9.67036779743154e-34,"Sig","Sig"
7,"QUKE",68,1.54074093333333,0,5.53268506814035e-30,"Sig","Sig"
13,"QUKE",68,1.65925946666667,0,1.21824010241361e-29,"Sig","Sig"
18,"QUKE",61,1.54074093333333,0,2.62773297260147e-29,"Sig","Sig"
23,"QUKE",73,1.4222224,0,1.91018915986459e-29,"Sig","Sig"
28,"QUKE",64,1.36296326666667,0,1.36200261881922e-28,"Sig","Sig"
