"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",8.225156478,8.293786,0,4.3945377057069e-07,"Sig","Sig"
6,"ABCO",8.5584417534,8.416376,0,0.282293664519943,"Sig","NS"
11,"ABCO",8.60228985,8.387862,0.102868345672177,0.356884147344178,"NS","NS"
16,"ABCO",9.553299294,8.602554,0.214174748681323,0.00742886053925317,"NS","Sig"
21,"ABCO",10.69337808,8.841986,0.080591195950109,0.000749990555448498,"NS","Sig"
1,"CADE",26.3069525796,27.24755,0.00283076469345356,2.40632263513348e-05,"Sig","Sig"
6,"CADE",27.5409322188,27.705356,0.503437778956608,0.509592962765873,"NS","NS"
11,"CADE",29.414679063,27.865012,0.92576330639662,0.00901923271725157,"NS","Sig"
16,"CADE",30.9835171338,28.33733,0.0734308003123075,0.000442894772962076,"NS","Sig"
21,"CADE",31.682969241,28.426234,0.321453787587946,0.00168133003425266,"NS","Sig"
1,"PILA",1.5657506634,2.0302188,0,3.69416896781544e-06,"Sig","Sig"
6,"PILA",1.6803483774,2.0297118,0.138836119264846,0.000823733862490066,"NS","Sig"
11,"PILA",1.975410591,1.901229,0.845381318167966,0.323504950324036,"NS","NS"
16,"PILA",2.3077156872,1.9000448,0.915562343180108,0.0130277754456253,"NS","Sig"
21,"PILA",2.5689467958,1.7603278,0.373403831090128,0.0135095353281324,"NS","Sig"
1,"PIPO",17.41989711,15.8142476,0.125389648324674,0.00176330211442021,"NS","Sig"
6,"PIPO",11.3079959916,13.7182732,0.925590730505094,0.0260572081948582,"NS","Sig"
11,"PIPO",11.6126039568,11.52829758,0.741409451886716,0.927436213990662,"NS","NS"
16,"PIPO",11.661556368,9.13691502,0.968897703217424,0.0627488513625125,"NS","NS"
21,"PIPO",12.0437901276,8.25933036,0.582036665361406,0.0570598831453031,"NS","NS"
1,"QUCH",0.083079612,0.0735934196,0.0187899730648079,0.0358899731995418,"Sig","Sig"
6,"QUCH",0.0370166874,0.0664812218,0.912071543220735,0.00646016088219235,"NS","Sig"
11,"QUCH",0.0210078792,0.0610454548,0.847140424288475,0.00691323086256151,"NS","Sig"
21,"QUCH",0.0176605044,0.0631839788,0.522655145947866,0.0100404908904806,"NS","Sig"
1,"QUKE",15.1782367044,14.7655366,0.283637547011979,0.00250464423458242,"NS","Sig"
6,"QUKE",14.6855364348,14.4897928,0.00683243344147644,0.0974359718245319,"Sig","NS"
11,"QUKE",14.9033325672,14.4822236,0.45001415723495,0.0134840381826593,"NS","Sig"
16,"QUKE",15.429069117,14.5588946,0.581255119536325,0.00511308653392803,"NS","Sig"
21,"QUKE",15.3179185236,14.49534218,0.967608194626995,0.0125449229681723,"NS","Sig"
