"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",14,1.71674,0,1,"Sig","NS"
15,"PICO",14,1.71674,0,1,"Sig","NS"
19,"PICO",16,1.71674,0,1,"Sig","NS"
24,"PICO",18,1.5450658,0,7.10348879869141e-08,"Sig","Sig"
29,"PICO",18,1.5450658,0,7.10348879869141e-08,"Sig","Sig"
1,"PIMO",226,80.000032,0,7.75210443402578e-09,"Sig","Sig"
5,"PIMO",226,83.09016,0,1.40173609462585e-08,"Sig","Sig"
10,"PIMO",216,84.635186,0,3.25569801214742e-07,"Sig","Sig"
15,"PIMO",220,87.72533,0,1.09090683626885e-06,"Sig","Sig"
19,"PIMO",387,88.412028,0,7.46269822038997e-08,"Sig","Sig"
24,"PIMO",422,89.442088,0,1.04732990259128e-07,"Sig","Sig"
29,"PIMO",456,89.09874,0,7.06998296755374e-08,"Sig","Sig"
