"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",102.8738997594,120.937292,0,7.00118934493224e-08,"Sig","Sig"
6,"ABMA",105.098893977,121.857614,0,9.73076239132796e-06,"Sig","Sig"
11,"ABMA",107.131277484,122.051028,0.0189441995168918,0.000130371770528354,"Sig","Sig"
16,"ABMA",107.9304031344,123.253872,0.0297815389607552,0.000286245123970605,"Sig","Sig"
21,"ABMA",109.6955095236,122.4969,0.022850172932952,0.000202249983352092,"Sig","Sig"
1,"PICO",3.081968505,2.8765014,0.0654603766726951,0.000949374860270358,"NS","Sig"
6,"PICO",3.1846619112,2.847714,0.575405138261199,0.0289475222954105,"NS","Sig"
11,"PICO",2.6072719596,3.0087374,0.432234363959276,0.0184363120517415,"NS","Sig"
16,"PICO",2.7037732722,2.8561808,0.0149732639579484,0.343252226017827,"Sig","NS"
21,"PICO",2.6274677352,2.8343454,0.232423856716253,0.268533495647558,"NS","NS"
