"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",324,262.3134,0,2.58145740268756e-06,"Sig","Sig"
6,"ABCO",298,547.11982,0,2.26483322252037e-06,"Sig","Sig"
11,"ABCO",2919,625.85022,0,2.43257517056273e-10,"Sig","Sig"
16,"ABCO",716,753.74158,0.173164237959044,0.0741346259489773,"NS","NS"
21,"ABCO",314,847.3469,0,5.80931369895563e-06,"Sig","Sig"
1,"CADE",1408,720.90694,0,1.62346267764436e-09,"Sig","Sig"
6,"CADE",1260,843.9002,0,4.55831307008655e-07,"Sig","Sig"
11,"CADE",1528,873.4692,0,1.90330012664484e-07,"Sig","Sig"
16,"CADE",4656,914.8294,0,2.65449839998671e-10,"Sig","Sig"
21,"CADE",1058,965.4422,0.26266030033799,0.00146718230019683,"NS","Sig"
1,"PILA",146,62.585032,0,8.38814595505299e-10,"Sig","Sig"
6,"PILA",136,56.78005,0,1.15745726077223e-07,"Sig","Sig"
11,"PILA",154,52.244898,0,3.09377809985973e-07,"Sig","Sig"
16,"PILA",212,46.077126,0,4.94875685238909e-08,"Sig","Sig"
21,"PILA",222,42.993208,0,3.46366425898069e-08,"Sig","Sig"
1,"PIPO",94,44.98872,0,7.88911010118483e-07,"Sig","Sig"
6,"PIPO",64,44.625896,0.115720167703206,0.000556654872477741,"NS","Sig"
11,"PIPO",97,41.541912,0,1.76026313428899e-05,"Sig","Sig"
16,"PIPO",96,38.27663,0.00613579271399617,2.94530736944247e-05,"Sig","Sig"
21,"PIPO",64,34.467106,0.0435135024677612,0.0002037455638729,"Sig","Sig"
1,"QUCH",84,5.986398,0,3.94671306852386e-10,"Sig","Sig"
6,"QUCH",80,5.623586,0,2.60071466230477e-09,"Sig","Sig"
11,"QUCH",112,5.079368,0,4.02644511772837e-09,"Sig","Sig"
21,"QUCH",114,4.172338,0,3.61680268576364e-09,"Sig","Sig"
1,"QUKE",620,304.03632,0,2.23077158716391e-09,"Sig","Sig"
6,"QUKE",554,304.58072,0,9.69627946917023e-09,"Sig","Sig"
11,"QUKE",1074,291.882,0,1.29896922635121e-09,"Sig","Sig"
16,"QUKE",1010,276.82554,0,1.16854353731282e-08,"Sig","Sig"
21,"QUKE",502,267.210678,0,4.06687347675256e-07,"Sig","Sig"
