"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",1112,563.265318,0,3.26506821135923e-10,"Sig","Sig"
6,"ABMA",1612,579.77352,0,2.03351747841627e-10,"Sig","Sig"
11,"ABMA",3998,582.67604,0,3.02048955707093e-12,"Sig","Sig"
16,"ABMA",1663,583.76446,0,7.6238106736538e-10,"Sig","Sig"
21,"ABMA",1286,582.67582,0,4.41804535038303e-10,"Sig","Sig"
1,"PICO",68,34.285716,0,6.15696550332238e-08,"Sig","Sig"
6,"PICO",70,34.104306,0,5.16597255790992e-07,"Sig","Sig"
11,"PICO",66,33.197308,0,8.97229859867936e-08,"Sig","Sig"
16,"PICO",64,33.560078,0,3.01283677754777e-06,"Sig","Sig"
21,"PICO",60,32.653054,0,2.9004091273348e-07,"Sig","Sig"
