"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",1258,412.000233333333,0,1.32891480020489e-11,"Sig","Sig"
7,"ABCO",1236,682.370516666667,0,3.28110957409713e-09,"Sig","Sig"
13,"ABCO",1166,809.0668,0,4.94607021513533e-07,"Sig","Sig"
18,"ABCO",1556,913.24458,0,1.38763692502909e-06,"Sig","Sig"
23,"ABCO",1276,1019.19984,0,3.36481205658231e-06,"Sig","Sig"
28,"ABCO",1064,1099.02214,0.477921344770777,0.0210930063912201,"NS","Sig"
28,"ABMA",4,0.7111112,0.00100529761904766,5.02402763019819e-05,"Sig","Sig"
1,"CADE",208,44.7407796666667,0,3.73718014896415e-13,"Sig","Sig"
7,"CADE",208,51.9999816666667,0,1.46560534998984e-08,"Sig","Sig"
13,"CADE",208,53.333304,0,1.12004738032446e-06,"Sig","Sig"
18,"CADE",208,54.933354,0,2.23625106312156e-06,"Sig","Sig"
23,"CADE",249,57.777818,0,3.82851500211905e-07,"Sig","Sig"
28,"CADE",247,57.066696,0,5.26648327230702e-07,"Sig","Sig"
1,"PILA",358,85.185148,0,3.52172275692011e-12,"Sig","Sig"
7,"PILA",342,79.5555816666667,0,3.59207730473339e-11,"Sig","Sig"
13,"PILA",258,73.777772,0,1.57350882437959e-08,"Sig","Sig"
18,"PILA",232,69.1555498,0,2.41647775101418e-07,"Sig","Sig"
23,"PILA",157,63.2888998,0,1.01794081321168e-05,"Sig","Sig"
28,"PILA",143,60.44443,0.00132647372107125,3.1448472681511e-05,"Sig","Sig"
1,"QUKE",68,1.777778,0,1,"Sig","NS"
7,"QUKE",68,1.48148166666667,0,3.36771601300116e-12,"Sig","Sig"
13,"QUKE",68,1.2444446,0,6.78990071657373e-10,"Sig","Sig"
18,"QUKE",61,1.2444446,0,1.05752901133491e-09,"Sig","Sig"
23,"QUKE",73,1.0666668,0,2.74166771089901e-09,"Sig","Sig"
28,"QUKE",64,0.888889,0,2.36080786270199e-09,"Sig","Sig"
