"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",232.1082,540
6,"ABCO",307.47374,168
7,"ABCO",706.13368,1236
11,"ABCO",656.87042,2919
12,"ABCO",100.4,38
13,"ABCO",817.24438,1166
16,"ABCO",755.55602,716
17,"ABCO",116,210
18,"ABCO",906.13334,1556
21,"ABCO",866.03198,314
22,"ABCO",127.2,42
23,"ABCO",1003.02212,1276
27,"ABCO",140.6,36
28,"ABCO",1101.86654,1064
32,"ABCO",153.8,24
1,"ABMA",998.638254666667,1981.33333333333
6,"ABMA",1010.18869333333,2060.66666666667
11,"ABMA",1008.73830666667,3528.66666666667
16,"ABMA",1005.29167333333,1905.33333333333
21,"ABMA",999.546366666667,1644.66666666667
28,"ABMA",0.888889,4
1,"CADE",388.105213,808
6,"CADE",831.5646,1260
7,"CADE",54.399998,208
11,"CADE",880.1814,1528
13,"CADE",56.177792,208
16,"CADE",917.0064,4656
17,"CADE",2.8,10
18,"CADE",59.02224,208
21,"CADE",959.2746,1058
22,"CADE",2.6,20
23,"CADE",59.377812,249
27,"CADE",2.2,25
28,"CADE",56.533334,247
32,"CADE",2.2,30
1,"PICO",34.28571,68
6,"PICO",32.834468,70
10,"PICO",1.5450658,14
11,"PICO",33.015904,66
15,"PICO",1.2017174,14
16,"PICO",31.564634,64
19,"PICO",1.0300432,16
21,"PICO",32.108818,60
24,"PICO",1.0300432,18
29,"PICO",1.0300432,18
1,"PIJE",140.4,324
6,"PIJE",142.2,302
12,"PIJE",145.2,270
17,"PIJE",142.4,228
22,"PIJE",141.4,208
27,"PIJE",141,202
32,"PIJE",141,196
1,"PILA",50.5752018666667,170.666666666667
6,"PILA",31.578469,72
7,"PILA",82.311142,342
11,"PILA",54.603186,154
12,"PILA",3.4,6
13,"PILA",75.199986,258
16,"PILA",50.430826,212
17,"PILA",4,4
18,"PILA",70.3999656,232
21,"PILA",48.253952,222
22,"PILA",3.4,4
23,"PILA",66.844444,157
27,"PILA",3.6,4
28,"PILA",62.9333656,143
32,"PILA",2.6,4
1,"PIMO",44.3391589,120
5,"PIMO",82.40346,226
6,"PIMO",7.619052,14
10,"PIMO",83.60515,216
11,"PIMO",7.800458,14
15,"PIMO",87.725312,220
16,"PIMO",7.800458,14
19,"PIMO",89.785428,387
21,"PIMO",7.619052,10
24,"PIMO",93.73389,422
29,"PIMO",93.905522,456
1,"PIPO",46.802766,94
6,"PIPO",43.718854,64
11,"PIPO",42.086172,97
16,"PIPO",39.546508,96
21,"PIPO",37.55102,64
1,"QUCH",6.34921,84
6,"QUCH",5.623586,80
11,"QUCH",5.260774,112
21,"QUCH",4.716556,114
1,"QUKE",107.948914666667,296.666666666667
6,"QUKE",160.95099,378
7,"QUKE",1.9555558,68
11,"QUKE",291.15618,1074
12,"QUKE",14.4,200
13,"QUKE",1.9555558,68
16,"QUKE",275.37424,1010
17,"QUKE",13.6,273
18,"QUKE",1.9555558,61
21,"QUKE",263.945764,502
22,"QUKE",13.8,195
23,"QUKE",1.9555558,73
27,"QUKE",12.4,225
28,"QUKE",1.777778,64
32,"QUKE",12.2,248
