"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",0.0190373106,0.008190044,0,1.13043332787664e-06,"Sig","Sig"
15,"PICO",0.022427097,0.006723506,0.0884089473468006,0.0015405762982897,"NS","Sig"
19,"PICO",0.035197701,0.00754836,0.022381122752188,0.00020798333790669,"Sig","Sig"
24,"PICO",0.0519958362,0.009185224,0.00669672041967212,6.46346994181168e-05,"Sig","Sig"
29,"PICO",0.103346859,0.010999632,0,5.12789162289839e-06,"Sig","Sig"
1,"PIMO",16.1649999126,13.9920304,0,2.03719621856101e-08,"Sig","Sig"
5,"PIMO",13.1327684334,14.2984716,0,6.61384846836306e-08,"Sig","Sig"
10,"PIMO",11.2881402942,14.52844,0,1.6806121898515e-05,"Sig","Sig"
15,"PIMO",10.3510630608,14.8014958,0,1.16563381702353e-05,"Sig","Sig"
19,"PIMO",13.8338227566,13.460013,0,0.748735130065383,"Sig","NS"
24,"PIMO",14.941689147,13.839594,0,0.366242277780105,"Sig","NS"
29,"PIMO",15.3791812944,12.518399,0.81187538713584,0.118039897692921,"NS","NS"
