"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",14,1.5450658,0,2.16299620183695e-07,"Sig","Sig"
15,"PICO",14,1.2017174,0,4.36280786454266e-07,"Sig","Sig"
19,"PICO",16,1.0300432,0,1.03683229904685e-07,"Sig","Sig"
24,"PICO",18,1.0300432,0,6.27989212761547e-08,"Sig","Sig"
29,"PICO",18,1.0300432,0,6.27989212761547e-08,"Sig","Sig"
1,"PIMO",226,80.5150478,0,8.40418335080053e-10,"Sig","Sig"
5,"PIMO",226,82.40346,0,4.05048945951702e-08,"Sig","Sig"
10,"PIMO",216,83.60515,0,2.20165894052325e-07,"Sig","Sig"
15,"PIMO",220,87.725312,0,5.82197524382442e-08,"Sig","Sig"
19,"PIMO",387,89.785428,0,5.28889416011631e-09,"Sig","Sig"
24,"PIMO",422,93.73389,0,9.89492820094087e-09,"Sig","Sig"
29,"PIMO",456,93.905522,0,7.90530161793430e-09,"Sig","Sig"
