"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",100.5079450914,106.322744,0,6.49010443558139e-10,"Sig","Sig"
6,"ABMA",104.0460566376,108.532064,0.00704736604091846,5.24093125224932e-05,"Sig","Sig"
11,"ABMA",106.759052862,109.79575,0.324115975770406,0.00186464007349731,"NS","Sig"
16,"ABMA",109.51215691185,111.922636,0.691734833761932,0.0503764906954084,"NS","NS"
21,"ABMA",111.230174055,111.070218,0.479600983577759,0.859977197096569,"NS","NS"
1,"PIMO",0.1356692106,0.13121966,0.0970466590591075,0.00815893678191183,"NS","Sig"
6,"PIMO",0.1492165752,0.14497558,0.452273286543159,0.0550173150910745,"NS","NS"
11,"PIMO",0.1615779858,0.14168074,0,0.373964482751113,"Sig","NS"
16,"PIMO",0.1689607458,0.15900306,0,0.65765330107531,"Sig","NS"
21,"PIMO",0.1747664226,0.177675,0.0118902927346105,0.899774336000639,"Sig","NS"
